epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3962264060974121,0.4246861934661865,0.3962264060974121,0.4246861934661865,1.0971788167953491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971788167953491
5,0.5031446218490601,0.4853556454181671,0.5031446218490601,0.4853556454181671,1.0554119348526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0554119348526
10,0.509433925151825,0.5,0.509433925151825,0.5,1.00684654712677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00684654712677
15,0.5974842309951782,0.5543932914733887,0.5974842309951782,0.5543932914733887,0.9601247906684875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9601247906684875
20,0.6037735939025879,0.5543932914733887,0.6037735939025879,0.5543932914733887,0.9139943718910217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9139943718910217
25,0.6163522005081177,0.5878660678863525,0.6163522005081177,0.5878660678863525,0.8720964193344116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8720964193344116
30,0.6100628972053528,0.6087865829467773,0.6100628972053528,0.6087865829467773,0.8328884243965149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8328884243965149
35,0.6477987170219421,0.633891224861145,0.6477987170219421,0.633891224861145,0.7903854846954346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7903854846954346
40,0.6603773236274719,0.6589958071708679,0.6603773236274719,0.6589958071708679,0.7505145072937012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7505145072937012
45,0.6918238997459412,0.6945606470108032,0.6918238997459412,0.6945606470108032,0.7119467258453369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7119467258453369
50,0.698113203048706,0.7008367776870728,0.698113203048706,0.7008367776870728,0.6633893847465515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6633893847465515
