epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.31446540355682373,0.3402922749519348,0.31446540355682373,0.3402922749519348,1.101560115814209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101560115814209
5,0.4591194689273834,0.4947808086872101,0.4591194689273834,0.4947808086872101,1.0641676187515259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0641676187515259
10,0.44025155901908875,0.4906054437160492,0.44025155901908875,0.4906054437160492,1.0245057344436646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0245057344436646
15,0.44654086232185364,0.5031315088272095,0.44654086232185364,0.5031315088272095,0.9889398813247681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9889398813247681
20,0.5031446218490601,0.519832968711853,0.5031446218490601,0.519832968711853,0.9498558044433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9498558044433594
25,0.5345911979675293,0.5574113130569458,0.5345911979675293,0.5574113130569458,0.9067279100418091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9067279100418091
30,0.553459107875824,0.5970772504806519,0.553459107875824,0.5970772504806519,0.856841504573822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856841504573822
35,0.5974842309951782,0.630480170249939,0.5974842309951782,0.630480170249939,0.8032916188240051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8032916188240051
40,0.6352201104164124,0.668058454990387,0.6352201104164124,0.668058454990387,0.7484367489814758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7484367489814758
45,0.654088020324707,0.705636739730835,0.654088020324707,0.705636739730835,0.6951435804367065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6951435804367065
50,0.6918238997459412,0.7515657544136047,0.6918238997459412,0.7515657544136047,0.6417324542999268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417324542999268
55,0.7169811129570007,0.7724425792694092,0.7169811129570007,0.7724425792694092,0.5861763954162598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5861763954162598
60,0.7232704162597656,0.780793309211731,0.7232704162597656,0.780793309211731,0.5490389466285706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5490389466285706
65,0.7358490228652954,0.7974947690963745,0.7358490228652954,0.7974947690963745,0.5024310350418091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5024310350418091
70,0.7547169327735901,0.8225470185279846,0.7547169327735901,0.8225470185279846,0.46231839060783386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46231839060783386
75,0.7672955989837646,0.8350731134414673,0.7672955989837646,0.8350731134414673,0.4237925410270691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4237925410270691
80,0.7672955989837646,0.84759920835495,0.7672955989837646,0.84759920835495,0.390609472990036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390609472990036
85,0.7987421154975891,0.8559499382972717,0.7987421154975891,0.8559499382972717,0.37484267354011536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37484267354011536
90,0.805031418800354,0.8768267631530762,0.805031418800354,0.8768267631530762,0.35373005270957947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35373005270957947
95,0.7987421154975891,0.8789144158363342,0.7987421154975891,0.8789144158363342,0.32430291175842285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32430291175842285
100,0.8113207221031189,0.8810021281242371,0.8113207221031189,0.8810021281242371,0.309106707572937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309106707572937
105,0.8176100254058838,0.8956158757209778,0.8176100254058838,0.8956158757209778,0.3101728558540344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3101728558540344
110,0.8113207221031189,0.8935282230377197,0.8113207221031189,0.8935282230377197,0.29215943813323975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29215943813323975
115,0.8427672386169434,0.9018789529800415,0.8427672386169434,0.9018789529800415,0.2735782563686371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2735782563686371
120,0.8364779353141785,0.9039666056632996,0.8364779353141785,0.9039666056632996,0.27601346373558044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27601346373558044
125,0.8427672386169434,0.9123173356056213,0.8427672386169434,0.9123173356056213,0.25890570878982544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25890570878982544
130,0.8427672386169434,0.9185804128646851,0.8427672386169434,0.9185804128646851,0.24757623672485352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24757623672485352
135,0.8616352081298828,0.924843430519104,0.8616352081298828,0.924843430519104,0.23906706273555756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23906706273555756
140,0.849056601524353,0.9206680655479431,0.849056601524353,0.9206680655479431,0.22626711428165436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22626711428165436
145,0.8553459048271179,0.9269311428070068,0.8553459048271179,0.9269311428070068,0.23796947300434113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23796947300434113
150,0.8427672386169434,0.9311065077781677,0.8427672386169434,0.9311065077781677,0.21774190664291382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21774190664291382
155,0.849056601524353,0.9290187954902649,0.849056601524353,0.9290187954902649,0.21651403605937958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21651403605937958
160,0.8553459048271179,0.9352818727493286,0.8553459048271179,0.9352818727493286,0.2082933932542801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2082933932542801
165,0.849056601524353,0.9352818727493286,0.849056601524353,0.9352818727493286,0.2040989249944687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2040989249944687
170,0.8553459048271179,0.9373695254325867,0.8553459048271179,0.9373695254325867,0.19686634838581085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19686634838581085
175,0.849056601524353,0.9394572377204895,0.849056601524353,0.9394572377204895,0.19021111726760864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19021111726760864
