epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3860759735107422,0.33194154500961304,0.3860759735107422,0.33194154500961304,1.107527732849121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.107527732849121
5,0.4683544337749481,0.47807934880256653,0.4683544337749481,0.47807934880256653,1.0644030570983887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0644030570983887
10,0.474683552980423,0.5407098531723022,0.474683552980423,0.5407098531723022,1.0171657800674438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0171657800674438
15,0.5189873576164246,0.5469728708267212,0.5189873576164246,0.5469728708267212,0.9700679779052734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9700679779052734
20,0.5822784900665283,0.5845511555671692,0.5822784900665283,0.5845511555671692,0.9168794751167297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9168794751167297
25,0.6139240860939026,0.6179540753364563,0.6139240860939026,0.6179540753364563,0.8592126369476318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8592126369476318
30,0.6518987417221069,0.6492693424224854,0.6518987417221069,0.6492693424224854,0.8040170669555664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8040170669555664
35,0.6582278609275818,0.6555323600769043,0.6582278609275818,0.6555323600769043,0.7556649446487427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7556649446487427
40,0.6645569801330566,0.6638830900192261,0.6645569801330566,0.6638830900192261,0.7156688570976257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7156688570976257
45,0.6962025761604309,0.6805845499038696,0.6962025761604309,0.6805845499038696,0.6816416382789612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6816416382789612
50,0.7215189933776855,0.7098121047019958,0.7215189933776855,0.7098121047019958,0.644264817237854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644264817237854
55,0.7594937086105347,0.7265135645866394,0.7594937086105347,0.7265135645866394,0.6073893904685974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6073893904685974
60,0.7848101258277893,0.7348642945289612,0.7848101258277893,0.7348642945289612,0.5772218704223633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772218704223633
65,0.7911392450332642,0.7661795616149902,0.7911392450332642,0.7661795616149902,0.5412659645080566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412659645080566
70,0.797468364238739,0.780793309211731,0.797468364238739,0.780793309211731,0.5157576203346252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5157576203346252
75,0.7848101258277893,0.7933194041252136,0.7848101258277893,0.7933194041252136,0.48186078667640686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48186078667640686
80,0.7911392450332642,0.8079332113265991,0.7911392450332642,0.8079332113265991,0.45796287059783936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45796287059783936
85,0.7911392450332642,0.8413361310958862,0.7911392450332642,0.8413361310958862,0.4320324659347534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4320324659347534
90,0.8037974834442139,0.8455114960670471,0.8037974834442139,0.8455114960670471,0.4034055173397064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4034055173397064
95,0.8101266026496887,0.8663883209228516,0.8101266026496887,0.8663883209228516,0.38522887229919434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38522887229919434
100,0.8164557218551636,0.885177493095398,0.8164557218551636,0.885177493095398,0.3534829914569855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534829914569855
105,0.8354430794715881,0.8914405107498169,0.8354430794715881,0.8914405107498169,0.3215339183807373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3215339183807373
110,0.8291139602661133,0.9018789529800415,0.8291139602661133,0.9018789529800415,0.30767837166786194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30767837166786194
115,0.8354430794715881,0.9018789529800415,0.8354430794715881,0.9018789529800415,0.2963036894798279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2963036894798279
120,0.8291139602661133,0.9144050478935242,0.8291139602661133,0.9144050478935242,0.26981785893440247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26981785893440247
125,0.8354430794715881,0.922755777835846,0.8354430794715881,0.922755777835846,0.24003447592258453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24003447592258453
130,0.8291139602661133,0.9269311428070068,0.8291139602661133,0.9269311428070068,0.2305610030889511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2305610030889511
135,0.8227848410606384,0.9206680655479431,0.8227848410606384,0.9206680655479431,0.21887509524822235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21887509524822235
140,0.8544303774833679,0.9269311428070068,0.8544303774833679,0.9269311428070068,0.2129315733909607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2129315733909607
145,0.8291139602661133,0.9352818727493286,0.8291139602661133,0.9352818727493286,0.19202424585819244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19202424585819244
150,0.8354430794715881,0.9478079676628113,0.8354430794715881,0.9478079676628113,0.18724964559078217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18724964559078217
