epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3207547068595886,0.3200836777687073,0.3207547068595886,0.3200836777687073,1.1005624532699585,0.029921330511569977,7.414871652144939e-05,2.8439189918572083e-05,4.570953024085611e-05,0.0,0.0,0.0,0.0,0.0,0.8206146359443665,1.4052183628082275,0.0,0.03203319013118744,0.16119594871997833,0.0,1.1030259132385254
5,0.35849055647850037,0.357740581035614,0.35849055647850037,0.357740581035614,1.092446208000183,0.011057167313992977,0.00014685685164295137,0.00010079763160319999,4.605922367773019e-05,0.0,0.0,0.0,0.0,0.0,0.5837650299072266,2.8408656120300293,0.0,0.012796284630894661,0.13784147799015045,0.16744834184646606,1.095428705215454
10,0.6226415038108826,0.5334727764129639,0.6226415038108826,0.5334727764129639,0.9974268674850464,0.03801716864109039,0.008220786228775978,0.004699446726590395,0.0035213397350162268,0.0,0.0,0.0,0.0,0.0014970264164730906,0.32818716764450073,6.006627559661865,0.0,0.0064358823001384735,0.10959203541278839,0.08092277497053146,1.0008494853973389
15,0.5786163210868835,0.581589937210083,0.5786163210868835,0.581589937210083,0.8585751056671143,0.0634244754910469,0.045974165201187134,0.02251136302947998,0.023462804034352303,0.0,0.0,0.0,0.0,0.0002844315313268453,0.304462730884552,5.306333065032959,0.0,0.002370354486629367,0.13034506142139435,0.0642009824514389,0.8637491464614868
20,0.6352201104164124,0.654811680316925,0.6352201104164124,0.654811680316925,0.7607894539833069,0.07297743856906891,0.09538319706916809,0.0497792549431324,0.04560394212603569,0.0,0.0,0.0,0.0,0.00018118090520147234,0.2913636565208435,5.26174783706665,0.0,0.004871801473200321,0.12807676196098328,0.11092134565114975,0.767624020576477
25,0.7106918096542358,0.7384936809539795,0.7106918096542358,0.7384936809539795,0.6427175402641296,0.10588853806257248,0.18171916902065277,0.1049446165561676,0.07677455246448517,0.0,0.0,0.0,0.0,1.0943209417746402e-05,0.3009468913078308,5.00533390045166,0.0,0.003933636471629143,0.12437482178211212,0.22809529304504395,0.6535195112228394
30,0.7421383261680603,0.8117154836654663,0.7421383261680603,0.8117154836654663,0.4886346459388733,0.08572458475828171,0.19054941833019257,0.13458353281021118,0.05596588924527168,0.0,0.0,0.0,0.0,0.0,0.30317196249961853,4.972224235534668,0.0,0.0010406756773591042,0.1171490028500557,0.2344205528497696,0.49832117557525635
35,0.8113207221031189,0.8347280025482178,0.8113207221031189,0.8347280025482178,0.42240941524505615,0.1222245991230011,0.2876698076725006,0.1941586136817932,0.093511201441288,0.0,0.0,0.0,0.0,1.648537704568298e-06,0.30542728304862976,5.111542701721191,0.0,0.00040458887815475464,0.10700476914644241,0.4294595718383789,0.4371641278266907
40,0.8176100254058838,0.8765690326690674,0.8176100254058838,0.8765690326690674,0.409118115901947,0.06617750227451324,0.08138087391853333,0.03722647577524185,0.04415439814329147,0.0,0.0,0.0,0.0,2.3943530322867446e-06,0.3107106685638428,5.034827709197998,0.0,0.0017373468726873398,0.1000525951385498,0.16351692378520966,0.4158264696598053
45,0.8238993287086487,0.8912133574485779,0.8238993287086487,0.8912133574485779,0.30931025743484497,0.08847156167030334,0.178126722574234,0.08117381483316422,0.0969529077410698,0.0,0.0,0.0,0.0,0.0,0.31921565532684326,4.820392608642578,0.0,0.004179563373327255,0.09645199030637741,0.22341972589492798,0.31922197341918945
