epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3207547068595886,0.3200836777687073,0.3207547068595886,0.3200836777687073,1.1005502939224243,0.031355954706668854,7.414871652144939e-05,2.8439189918572083e-05,4.570953024085611e-05,0.0,3.2308189868927,1.7879502773284912,14.42868709564209,0.0,0.8206146359443665,1.4052183628082275,0.0,0.21075968444347382,0.0,0.0,1.1677894592285156
5,0.35849055647850037,0.35983261466026306,0.35849055647850037,0.35983261466026306,1.0926262140274048,0.01063775084912777,0.001316786278039217,0.000643025035969913,0.000673761242069304,0.0,0.44283953309059143,0.3173626661300659,1.2547686100006104,0.0,0.6852534413337708,1.8170636892318726,0.0,0.07425971329212189,0.0,0.1374746859073639,1.1037808656692505
10,0.5220125317573547,0.5020920634269714,0.5220125317573547,0.5020920634269714,0.9969514608383179,0.038658566772937775,0.025936976075172424,0.019836241379380226,0.0061007337644696236,0.0,0.14060759544372559,0.12124433368444443,0.1936325877904892,0.0,0.6246582269668579,2.053732395172119,0.0,0.12435659021139145,0.0,0.1888435035943985,1.0045270919799805
15,0.6037735939025879,0.5774058699607849,0.6037735939025879,0.5774058699607849,0.8969081044197083,0.07356057316064835,0.11483815312385559,0.08665332198143005,0.028184833005070686,0.0,0.14557208120822906,0.11042989790439606,0.3514218330383301,0.0,0.6669348478317261,1.9190118312835693,0.0,0.1696816086769104,0.0,0.11351542919874191,0.9069113731384277
20,0.6415094137191772,0.642259418964386,0.6415094137191772,0.642259418964386,0.7868059277534485,0.14796984195709229,0.18762239813804626,0.1543901413679123,0.033232253044843674,0.0,0.14380955696105957,0.1071787104010582,0.36630839109420776,0.0,0.6607427597045898,2.009720802307129,0.0,0.15309306979179382,0.0,0.24338293075561523,0.802488386631012
25,0.6037735939025879,0.6150627732276917,0.6037735939025879,0.6150627732276917,0.7386696934700012,0.1170540526509285,0.24902229011058807,0.20177114009857178,0.047251153737306595,0.0,0.2116163671016693,0.1650020331144333,0.46614354848861694,0.0,0.599945068359375,2.1713201999664307,0.0,0.06222221255302429,0.0,0.20086577534675598,0.7540373206138611
30,0.7169811129570007,0.6987447738647461,0.7169811129570007,0.6987447738647461,0.6763105392456055,0.1069207414984703,0.2526977062225342,0.21517600119113922,0.037521690130233765,0.0,0.2018222212791443,0.14976215362548828,0.5206006169319153,0.0,0.5675133466720581,2.368873119354248,0.0,0.08425971865653992,0.0,0.14913885295391083,0.6905078887939453
35,0.7735849022865295,0.7447698712348938,0.7735849022865295,0.7447698712348938,0.5825576186180115,0.15614943206310272,0.28533095121383667,0.2238231599330902,0.061507776379585266,0.0,0.1972486525774002,0.14035968482494354,0.5688895583152771,0.0,0.57748943567276,2.3255627155303955,0.0,0.10774409770965576,0.0,0.6854375600814819,0.6051715612411499
40,0.7672955989837646,0.7677823901176453,0.7672955989837646,0.7677823901176453,0.5707840919494629,0.16444358229637146,0.5291199684143066,0.4006452262401581,0.12847474217414856,0.0,0.1891232281923294,0.1278652399778366,0.6125801205635071,0.0,0.5351734161376953,2.542180299758911,0.0,0.037125349044799805,0.0,0.4475017189979553,0.5940252542495728
45,0.8176100254058838,0.8012552261352539,0.8176100254058838,0.8012552261352539,0.4711002707481384,0.19340768456459045,0.532312273979187,0.43324917554855347,0.09906308352947235,0.0,0.22960561513900757,0.1601598709821701,0.6944571733474731,0.0,0.582685112953186,2.363199234008789,0.0,0.08357222378253937,0.0,0.7965797185897827,0.5000601410865784
