epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.35849055647850037,0.3590814173221588,0.35849055647850037,0.3590814173221588,1.098442792892456,0.03320653736591339,3.942409239243716e-05,1.9083518054685555e-05,2.03405725187622e-05,0.0,4.007730960845947,1.9554342031478882,20.522968292236328,0.0,0.0,0.0,0.0,0.017791977152228355,0.16347135603427887,0.0,1.1811646223068237
5,0.35849055647850037,0.3590814173221588,0.35849055647850037,0.3590814173221588,1.0934545993804932,0.011404041200876236,0.0010141339153051376,0.0003556207229848951,0.000658513221424073,0.0,0.5552077889442444,0.4070475101470947,1.4816023111343384,0.0,0.0,0.0,0.0,0.05726313591003418,0.15154732763767242,0.26915526390075684,1.1088811159133911
10,0.3459119498729706,0.45093947649002075,0.3459119498729706,0.45093947649002075,1.027533769607544,0.01981969363987446,0.008935248479247093,0.006556419655680656,0.0023788288235664368,0.0,0.18480411171913147,0.16621704399585724,0.18587081134319305,0.0,0.0,0.0,0.0,0.08574097603559494,0.12386899441480637,0.22823238372802734,1.0356643199920654
15,0.4654088020324707,0.4864300787448883,0.4654088020324707,0.4864300787448883,0.93879634141922,0.02879246696829796,0.08411388099193573,0.0642937421798706,0.019820136949419975,0.0,0.15004871785640717,0.12318234145641327,0.26866376399993896,0.0,0.0,0.0,0.0,0.09119155257940292,0.10581344366073608,0.11481679975986481,0.9464095234870911
20,0.5408805012702942,0.5887265205383301,0.5408805012702942,0.5887265205383301,0.8286134004592896,0.07913174480199814,0.1400400847196579,0.11295443028211594,0.02708565816283226,0.0,0.127757728099823,0.08933009207248688,0.38427644968032837,0.0,0.0,0.0,0.0,0.064674973487854,0.1033245399594307,0.12144909799098969,0.8388508558273315
25,0.654088020324707,0.7160751819610596,0.654088020324707,0.7160751819610596,0.7243112921714783,0.07015135139226913,0.13633093237876892,0.11023169755935669,0.02609923481941223,0.0,0.13991591334342957,0.09341685473918915,0.4649905562400818,0.0,0.0,0.0,0.0,0.054201386868953705,0.09067615121603012,0.196467325091362,0.7349305152893066
30,0.6415094137191772,0.7620041966438293,0.6415094137191772,0.7620041966438293,0.6037558317184448,0.07650279998779297,0.13029174506664276,0.09213453531265259,0.03815720975399017,0.0,0.17052669823169708,0.13353748619556427,0.3698921203613281,0.0,0.0,0.0,0.0,0.049529917538166046,0.08056534081697464,0.30257970094680786,0.6163522005081177
35,0.7169811129570007,0.8434238433837891,0.7169811129570007,0.8434238433837891,0.49539411067962646,0.10591848194599152,0.1328715980052948,0.08655072748661041,0.046320874243974686,0.0,0.22619085013866425,0.19518154859542847,0.3100929856300354,0.0,0.0,0.0,0.0,0.047910578548908234,0.072597436606884,0.5106785893440247,0.5127151608467102
40,0.761006236076355,0.8747390508651733,0.761006236076355,0.8747390508651733,0.3732267916202545,0.1252782940864563,0.13472631573677063,0.07652027904987335,0.05820603668689728,0.0,0.2600063383579254,0.23621495068073273,0.23791366815567017,0.0,0.0,0.0,0.0,0.046428173780441284,0.07443772256374359,0.7610509991645813,0.394834965467453
45,0.7798742055892944,0.8956158757209778,0.7798742055892944,0.8956158757209778,0.29314833879470825,0.09221941232681274,0.1512012928724289,0.09598669409751892,0.05521460250020027,0.0,0.2626304030418396,0.2399497777223587,0.22680626809597015,0.0,0.0,0.0,0.0,0.04822218418121338,0.07435014843940735,0.5242017507553101,0.31093093752861023
50,0.7735849022865295,0.9039666056632996,0.7735849022865295,0.9039666056632996,0.2524987757205963,0.0849238783121109,0.10394737124443054,0.06239504739642143,0.04155232012271881,0.0,0.25438085198402405,0.23375174403190613,0.20629115402698517,0.0,0.0,0.0,0.0,0.05002233013510704,0.06807471811771393,0.4487193524837494,0.2683652341365814
55,0.8301886320114136,0.924843430519104,0.8301886320114136,0.924843430519104,0.2210586965084076,0.08501638472080231,0.07869452238082886,0.0470503531396389,0.03164416551589966,0.0,0.25961098074913025,0.24116413295269012,0.18446817994117737,0.0,0.0,0.0,0.0,0.04457959160208702,0.06124238297343254,0.5421411395072937,0.23755565285682678
60,0.8427672386169434,0.9498956203460693,0.8427672386169434,0.9498956203460693,0.1978204995393753,0.08821483701467514,0.11655740439891815,0.055521395057439804,0.06103600934147835,0.0,0.2515117824077606,0.22409050166606903,0.27421289682388306,0.0,0.0,0.0,0.0,0.04436296224594116,0.05355735868215561,0.461786687374115,0.21414488554000854
65,0.849056601524353,0.9478079676628113,0.849056601524353,0.9478079676628113,0.15213310718536377,0.0900547206401825,0.05949391797184944,0.034750282764434814,0.024743635207414627,0.0,0.1893395632505417,0.16519580781459808,0.24143746495246887,0.0,0.0,0.0,0.0,0.04062527045607567,0.05209892988204956,0.6348821520805359,0.1680774688720703
70,0.8679245114326477,0.9498956203460693,0.8679245114326477,0.9498956203460693,0.16744233667850494,0.0927620530128479,0.07760609686374664,0.04348054155707359,0.03412555530667305,0.0,0.18364951014518738,0.1617949903011322,0.21854515373706818,0.0,0.0,0.0,0.0,0.03293667733669281,0.05344163253903389,0.5767560005187988,0.18307019770145416
