epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.34810128808021545,0.3486430048942566,0.34810128808021545,0.3486430048942566,1.1003494262695312,0.04090511426329613,8.338555926457047e-05,3.127458694507368e-05,5.2110972319496796e-05,0.0,3.382376194000244,1.7712478637695312,16.111284255981445,0.0,0.0,0.0,0.0,0.055470824241638184,0.1645631343126297,0.0,1.171143889427185
5,0.4430379867553711,0.47390398383140564,0.4430379867553711,0.47390398383140564,1.092100977897644,0.01090010441839695,0.00041008961852639914,0.0002190725936088711,0.0001910170103656128,0.0,0.601243793964386,0.4669892489910126,1.3425453901290894,0.0,0.0,0.0,0.0,0.05565182864665985,0.16143988072872162,0.23783938586711884,1.1081405878067017
10,0.5,0.5031315088272095,0.5,0.5031315088272095,0.9550444483757019,0.031056644394993782,0.11554970592260361,0.08841659873723984,0.02713310532271862,0.0,0.26253020763397217,0.2174924910068512,0.45037758350372314,0.0,0.0,0.0,0.0,0.05744318291544914,0.13485512137413025,0.13746345043182373,0.9656108617782593
15,0.6202532052993774,0.5845511555671692,0.6202532052993774,0.5845511555671692,0.8623759746551514,0.04487302899360657,0.13324236869812012,0.09761399775743484,0.03562837839126587,0.0,0.23332007229328156,0.17974503338336945,0.5357504487037659,0.0,0.0,0.0,0.0,0.07041002064943314,0.0975806787610054,0.12970155477523804,0.8731116652488708
20,0.6265822649002075,0.6555323600769043,0.6265822649002075,0.6555323600769043,0.7571598887443542,0.052407946437597275,0.14471644163131714,0.11524003744125366,0.029476409777998924,0.0,0.20161129534244537,0.13976456224918365,0.6184673309326172,0.0,0.0,0.0,0.0,0.05651576817035675,0.09495532512664795,0.1420726776123047,0.767732560634613
25,0.6962025761604309,0.7202505469322205,0.6962025761604309,0.7202505469322205,0.6752769947052002,0.04735390841960907,0.07978757470846176,0.0627567321062088,0.01703084446489811,0.0,0.18682444095611572,0.13812699913978577,0.4869743883609772,0.0,0.0,0.0,0.0,0.05283626914024353,0.08840900659561157,0.12172473967075348,0.684272825717926
30,0.746835470199585,0.774530291557312,0.746835470199585,0.774530291557312,0.5568460822105408,0.06613799929618835,0.10326982289552689,0.08316382765769958,0.02010599710047245,0.0,0.15194296836853027,0.10445914417505264,0.4748381972312927,0.0,0.0,0.0,0.0,0.05673127621412277,0.07599113136529922,0.15215709805488586,0.5666108727455139
35,0.797468364238739,0.8183716535568237,0.797468364238739,0.8183716535568237,0.48169273138046265,0.07772200554609299,0.10302110016345978,0.08100427687168121,0.022016823291778564,0.0,0.12558279931545258,0.0799865573644638,0.4559623599052429,0.0,0.0,0.0,0.0,0.05826752632856369,0.06876388937234879,0.16473346948623657,0.4916233718395233
40,0.7848101258277893,0.84759920835495,0.7848101258277893,0.84759920835495,0.4008204936981201,0.1015661209821701,0.07658527791500092,0.06192214787006378,0.014663130044937134,0.0,0.1176399439573288,0.0762699767947197,0.4136997163295746,0.0,0.0,0.0,0.0,0.05855511873960495,0.062367528676986694,0.19935162365436554,0.4117622375488281
45,0.8037974834442139,0.8705636858940125,0.8037974834442139,0.8705636858940125,0.33736440539360046,0.1329060196876526,0.14562231302261353,0.11356713622808456,0.03205517306923866,0.0,0.16830147802829742,0.11652492731809616,0.5177656412124634,0.0,0.0,0.0,0.0,0.06101378798484802,0.05325910821557045,0.2149002104997635,0.35187286138534546
