epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.35849055647850037,0.3590814173221588,0.35849055647850037,0.3590814173221588,1.0984467267990112,0.03320653736591339,3.942409239243716e-05,1.9083518054685555e-05,2.03405725187622e-05,0.0,4.007730960845947,1.9554342031478882,20.522968292236328,0.0,0.8611561059951782,1.302889108657837,0.0,0.017791977152228355,0.16347135603427887,0.0,1.181168556213379
5,0.35849055647850037,0.3590814173221588,0.35849055647850037,0.3590814173221588,1.0933308601379395,0.011357460170984268,0.001015946501865983,0.0003567534440662712,0.0006591930286958814,0.0,0.5553930997848511,0.4072883129119873,1.4810481071472168,0.0,0.6391838192939758,1.994483232498169,0.0,0.057908616960048676,0.15083475410938263,0.26938068866729736,1.1087608337402344
10,0.3522012531757355,0.442588746547699,0.3522012531757355,0.442588746547699,1.0339953899383545,0.023877030238509178,0.010843029245734215,0.008098133839666843,0.0027448954060673714,0.0,0.1912144124507904,0.16685761511325836,0.24356795847415924,0.0,0.4813731610774994,2.770334243774414,0.0,0.10201849788427353,0.10506993532180786,0.20131374895572662,1.0421979427337646
15,0.4654088020324707,0.4968684911727905,0.4654088020324707,0.4968684911727905,0.938980221748352,0.03652332350611687,0.11075939983129501,0.08389397710561752,0.02686542458832264,0.0,0.16011358797550201,0.1261470913887024,0.3396647274494171,0.0,0.5090191960334778,2.5999889373779297,0.0,0.10070832818746567,0.09173927456140518,0.1220136284828186,0.9475672841072083
20,0.5283018946647644,0.6054279804229736,0.5283018946647644,0.6054279804229736,0.8262391686439514,0.08001787215471268,0.1438850462436676,0.12353339791297913,0.020351655781269073,0.0,0.15408390760421753,0.10465574264526367,0.4942816197872162,0.0,0.5216265916824341,2.5634827613830566,0.0,0.06697007268667221,0.08999600261449814,0.13968884944915771,0.8371458053588867
25,0.5723270177841187,0.6972860097885132,0.5723270177841187,0.6972860097885132,0.6854395270347595,0.06905228644609451,0.19443990290164948,0.1506388783454895,0.04380102455615997,0.0,0.17183828353881836,0.12858867645263672,0.4324960708618164,0.0,0.5349814891815186,2.535160779953003,0.0,0.06035066768527031,0.07598966360092163,0.23484735190868378,0.6977414488792419
30,0.6163522005081177,0.7703549265861511,0.6163522005081177,0.7703549265861511,0.5647723078727722,0.07606814801692963,0.2394353747367859,0.19241692125797272,0.047018446028232574,0.0,0.17163769900798798,0.1315736323595047,0.4006407558917999,0.0,0.5292706489562988,2.6513991355895996,0.0,0.06051529943943024,0.06632193177938461,0.30605754256248474,0.5785677433013916
35,0.7295597195625305,0.8622129559516907,0.7295597195625305,0.8622129559516907,0.4651639759540558,0.07260329276323318,0.22625085711479187,0.18779167532920837,0.0384591780602932,0.0,0.16883522272109985,0.1214597225189209,0.47375503182411194,7.953939530125353e-06,0.5226365327835083,2.7373404502868652,0.0,0.05818937346339226,0.06160916015505791,0.2553628087043762,0.4779706597328186
40,0.761006236076355,0.887265145778656,0.761006236076355,0.887265145778656,0.3658309280872345,0.0921236053109169,0.14223738014698029,0.10103260725736618,0.041204772889614105,0.0,0.15178482234477997,0.09703186899423599,0.5475294589996338,2.6180747227044776e-05,0.5230454802513123,2.742741584777832,0.0,0.06131317466497421,0.05437402054667473,0.4165230691432953,0.3800511658191681
45,0.7735849022865295,0.9039666056632996,0.7735849022865295,0.9039666056632996,0.33711355924606323,0.1000601202249527,0.15891915559768677,0.11045389622449875,0.04846526309847832,0.0,0.16898603737354279,0.11806987226009369,0.5091618895530701,6.808596026530722e-06,0.5035883784294128,2.9537136554718018,0.0,0.05094629526138306,0.06124718487262726,0.3420827090740204,0.35155197978019714
50,0.7861635088920593,0.8997912406921387,0.7861635088920593,0.8997912406921387,0.26094621419906616,0.09012340754270554,0.10661476850509644,0.07425083220005035,0.03236394003033638,0.0,0.16825003921985626,0.12358204275369644,0.446679949760437,0.00014458809164352715,0.49467992782592773,3.1813693046569824,0.0,0.04899013787508011,0.06109252944588661,0.4002828001976013,0.2747618854045868
55,0.7735849022865295,0.9039666056632996,0.7735849022865295,0.9039666056632996,0.2524624168872833,0.08292766660451889,0.10274848341941833,0.08089736849069595,0.02185111865401268,0.0,0.13930891454219818,0.10727736353874207,0.320315420627594,7.861770427552983e-06,0.47249433398246765,3.271638870239258,0.0,0.053143858909606934,0.05270243063569069,0.4749113917350769,0.26591944694519043
60,0.7987421154975891,0.9331941604614258,0.7987421154975891,0.9331941604614258,0.2245083898305893,0.08405771106481552,0.09057420492172241,0.06591618061065674,0.024658024311065674,0.0,0.1318269670009613,0.09564279019832611,0.3618418574333191,1.4489573004539125e-05,0.46404504776000977,3.4099271297454834,0.0,0.047916363924741745,0.054872069507837296,0.3425779342651367,0.2364400029182434
65,0.8176100254058838,0.924843430519104,0.8176100254058838,0.924843430519104,0.19171054661273956,0.08330181986093521,0.09782891720533371,0.06972824037075043,0.02810067869722843,0.0,0.1278734654188156,0.09628592431545258,0.315875381231308,3.583237685234053e-06,0.5292975902557373,2.8845109939575195,0.0,0.04626937210559845,0.054580893367528915,0.42042359709739685,0.2044009268283844
70,0.7798742055892944,0.9373695254325867,0.7798742055892944,0.9373695254325867,0.19387099146842957,0.08991775661706924,0.12624558806419373,0.08789529651403427,0.038350287824869156,0.0,0.1270132064819336,0.10439885407686234,0.22614338994026184,6.519108865177259e-06,0.5249651670455933,3.0576233863830566,0.0,0.05325603112578392,0.053545113652944565,0.3639722764492035,0.20672690868377686
75,0.8113207221031189,0.9686847925186157,0.8113207221031189,0.9686847925186157,0.15333600342273712,0.09401696920394897,0.16272976994514465,0.11910281330347061,0.04362695664167404,0.0,0.11307118833065033,0.09238553047180176,0.20685654878616333,3.569078035070561e-05,0.49333491921424866,3.373290538787842,0.0,0.054558537900447845,0.048999615013599396,0.4088214337825775,0.1669682264328003
80,0.8238993287086487,0.9665970802307129,0.8238993287086487,0.9665970802307129,0.13463528454303741,0.09371437132358551,0.0994827076792717,0.07543611526489258,0.02404659241437912,0.0,0.12724211812019348,0.10424043238162994,0.2300167977809906,0.00027419906109571457,0.4429074823856354,3.996448516845703,0.0,0.05640546232461929,0.04142079874873161,0.4639524221420288,0.14823253452777863
85,0.8238993287086487,0.9728601574897766,0.8238993287086487,0.9728601574897766,0.11986695230007172,0.09571994841098785,0.09856785088777542,0.06456425040960312,0.0340036004781723,0.0,0.1435759961605072,0.1161467581987381,0.27429234981536865,0.0001213805953739211,0.464749813079834,3.538857936859131,0.0,0.059044137597084045,0.03969930112361908,0.47758689522743225,0.13412097096443176
