epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.5345911979675293,0.5397489666938782,0.5345911979675293,0.5397489666938782,1.098581075668335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098581075668335
5,0.5786163210868835,0.589958131313324,0.5786163210868835,0.589958131313324,0.9521943926811218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9521943926811218
10,0.704402506351471,0.6715481281280518,0.704402506351471,0.6715481281280518,0.7800636291503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7800636291503906
15,0.7106918096542358,0.7259414196014404,0.7106918096542358,0.7259414196014404,0.6819218397140503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6819218397140503
20,0.7421383261680603,0.7907949686050415,0.7421383261680603,0.7907949686050415,0.5673295259475708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5673295259475708
25,0.7672955989837646,0.8179916143417358,0.7672955989837646,0.8179916143417358,0.43672195076942444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43672195076942444
30,0.7861635088920593,0.857740581035614,0.7861635088920593,0.857740581035614,0.3948742151260376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3948742151260376
35,0.7987421154975891,0.874476969242096,0.7987421154975891,0.874476969242096,0.33602476119995117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33602476119995117
40,0.8176100254058838,0.8870292901992798,0.8176100254058838,0.8870292901992798,0.33308151364326477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33308151364326477
45,0.8301886320114136,0.8995815515518188,0.8301886320114136,0.8995815515518188,0.28682345151901245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28682345151901245
50,0.8176100254058838,0.9037656784057617,0.8176100254058838,0.9037656784057617,0.2636922597885132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2636922597885132
55,0.7987421154975891,0.9142259359359741,0.7987421154975891,0.9142259359359741,0.23660102486610413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23660102486610413
60,0.8364779353141785,0.9267781972885132,0.8364779353141785,0.9267781972885132,0.23360717296600342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23360717296600342
65,0.8238993287086487,0.9372384548187256,0.8238993287086487,0.9372384548187256,0.20601791143417358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20601791143417358
70,0.8238993287086487,0.9414225816726685,0.8238993287086487,0.9414225816726685,0.21504218876361847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21504218876361847
75,0.8301886320114136,0.9581589698791504,0.8301886320114136,0.9581589698791504,0.1774803251028061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1774803251028061
80,0.8176100254058838,0.9497907757759094,0.8176100254058838,0.9497907757759094,0.1629958599805832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1629958599805832
85,0.8301886320114136,0.9623430967330933,0.8301886320114136,0.9623430967330933,0.14890813827514648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14890813827514648
90,0.8301886320114136,0.9748953580856323,0.8301886320114136,0.9748953580856323,0.14368627965450287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14368627965450287
95,0.8113207221031189,0.9728032946586609,0.8113207221031189,0.9728032946586609,0.12083371728658676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12083371728658676
100,0.805031418800354,0.9623430967330933,0.805031418800354,0.9623430967330933,0.13309316337108612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13309316337108612
