epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.4088050127029419,0.45093947649002075,0.4088050127029419,0.45093947649002075,1.0990571975708008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990571975708008
5,0.4654088020324707,0.4947808086872101,0.4654088020324707,0.4947808086872101,1.01138436794281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01138436794281
10,0.5723270177841187,0.6826722621917725,0.5723270177841187,0.6826722621917725,0.8370304703712463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8370304703712463
15,0.6415094137191772,0.7578288316726685,0.6415094137191772,0.7578288316726685,0.6466110944747925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6466110944747925
20,0.7106918096542358,0.7828810214996338,0.7106918096542358,0.7828810214996338,0.5233299136161804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5233299136161804
25,0.7106918096542358,0.8204593062400818,0.7106918096542358,0.8204593062400818,0.4704218804836273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4704218804836273
30,0.761006236076355,0.8622129559516907,0.761006236076355,0.8622129559516907,0.402433305978775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402433305978775
35,0.7735849022865295,0.8956158757209778,0.7735849022865295,0.8956158757209778,0.35600876808166504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35600876808166504
40,0.7798742055892944,0.9060543179512024,0.7798742055892944,0.9060543179512024,0.2868031859397888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2868031859397888
45,0.8238993287086487,0.9394572377204895,0.8238993287086487,0.9394572377204895,0.2502479553222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2502479553222656
50,0.8616352081298828,0.9331941604614258,0.8616352081298828,0.9331941604614258,0.2388201802968979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2388201802968979
55,0.805031418800354,0.9436326026916504,0.805031418800354,0.9436326026916504,0.2253912389278412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2253912389278412
60,0.849056601524353,0.9540709853172302,0.849056601524353,0.9540709853172302,0.16967733204364777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16967733204364777
65,0.8616352081298828,0.9540709853172302,0.8616352081298828,0.9540709853172302,0.17380857467651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17380857467651367
70,0.8364779353141785,0.9540709853172302,0.8364779353141785,0.9540709853172302,0.14602597057819366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14602597057819366
75,0.849056601524353,0.962421715259552,0.849056601524353,0.962421715259552,0.13654322922229767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13654322922229767
80,0.8301886320114136,0.9707724452018738,0.8301886320114136,0.9707724452018738,0.12330255657434464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12330255657434464
85,0.8427672386169434,0.9665970802307129,0.8427672386169434,0.9665970802307129,0.10143346339464188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10143346339464188
90,0.8553459048271179,0.9770355224609375,0.8553459048271179,0.9770355224609375,0.12669548392295837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12669548392295837
