epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.49367091059684753,0.4822547137737274,0.49367091059684753,0.4822547137737274,1.1040674448013306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1040674448013306
5,0.5886076092720032,0.6137787103652954,0.5886076092720032,0.6137787103652954,0.9595935940742493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9595935940742493
10,0.6962025761604309,0.6784968972206116,0.6962025761604309,0.6784968972206116,0.7403655648231506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7403655648231506
15,0.7658228278160095,0.7494781017303467,0.7658228278160095,0.7494781017303467,0.6378220915794373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6378220915794373
20,0.7531645894050598,0.7703549265861511,0.7531645894050598,0.7703549265861511,0.5337800979614258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5337800979614258
25,0.8037974834442139,0.8225470185279846,0.8037974834442139,0.8225470185279846,0.4770039916038513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4770039916038513
30,0.7784810066223145,0.8413361310958862,0.7784810066223145,0.8413361310958862,0.43582847714424133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43582847714424133
35,0.797468364238739,0.8622129559516907,0.797468364238739,0.8622129559516907,0.33318769931793213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33318769931793213
40,0.8037974834442139,0.8914405107498169,0.8037974834442139,0.8914405107498169,0.3578561544418335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3578561544418335
45,0.8164557218551636,0.9123173356056213,0.8164557218551636,0.9123173356056213,0.2880127429962158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2880127429962158
50,0.8164557218551636,0.9123173356056213,0.8164557218551636,0.9123173356056213,0.23823122680187225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23823122680187225
55,0.8291139602661133,0.9415448904037476,0.8291139602661133,0.9415448904037476,0.18845820426940918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18845820426940918
60,0.8164557218551636,0.9373695254325867,0.8164557218551636,0.9373695254325867,0.2016080915927887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2016080915927887
65,0.841772198677063,0.9582463502883911,0.841772198677063,0.9582463502883911,0.16730985045433044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16730985045433044
70,0.8291139602661133,0.9540709853172302,0.8291139602661133,0.9540709853172302,0.187871053814888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187871053814888
75,0.8227848410606384,0.960334062576294,0.8227848410606384,0.960334062576294,0.1485656201839447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1485656201839447
80,0.841772198677063,0.962421715259552,0.841772198677063,0.962421715259552,0.1431877315044403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1431877315044403
85,0.8354430794715881,0.9832985401153564,0.8354430794715881,0.9832985401153564,0.14182041585445404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14182041585445404
90,0.841772198677063,0.9832985401153564,0.841772198677063,0.9832985401153564,0.11833608150482178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11833608150482178
95,0.841772198677063,0.9728601574897766,0.841772198677063,0.9728601574897766,0.1241031214594841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1241031214594841
100,0.8354430794715881,0.9853862524032593,0.8354430794715881,0.9853862524032593,0.08954571932554245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08954571932554245
105,0.8734177350997925,0.9874739050865173,0.8734177350997925,0.9874739050865173,0.07867000997066498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07867000997066498
110,0.8481012582778931,0.9958246350288391,0.8481012582778931,0.9958246350288391,0.0777035653591156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0777035653591156
115,0.8734177350997925,0.9958246350288391,0.8734177350997925,0.9958246350288391,0.07368385046720505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07368385046720505
120,0.8607594966888428,0.993736982345581,0.8607594966888428,0.993736982345581,0.11550845950841904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11550845950841904
