epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3232323229312897,0.3645485043525696,0.3232323229312897,0.3645485043525696,1.100999116897583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.100999116897583
5,0.3737373650074005,0.4163879454135895,0.3737373650074005,0.4163879454135895,1.0820882320404053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820882320404053
10,0.3787878751754761,0.45317724347114563,0.3787878751754761,0.45317724347114563,1.0217516422271729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0217516422271729
15,0.4040403962135315,0.4732441306114197,0.4040403962135315,0.4732441306114197,0.9742854237556458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9742854237556458
20,0.469696968793869,0.5301003456115723,0.469696968793869,0.5301003456115723,0.9283763766288757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9283763766288757
25,0.49494948983192444,0.590300977230072,0.49494948983192444,0.590300977230072,0.8826277852058411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8826277852058411
30,0.5202020406723022,0.6538461446762085,0.5202020406723022,0.6538461446762085,0.8087652325630188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087652325630188
35,0.5808081030845642,0.6655518412590027,0.5808081030845642,0.6655518412590027,0.7621258497238159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7621258497238159
40,0.6212121248245239,0.6856186985969543,0.6212121248245239,0.6856186985969543,0.7106519341468811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7106519341468811
45,0.6515151262283325,0.7341136932373047,0.6515151262283325,0.7341136932373047,0.6763242483139038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6763242483139038
50,0.6464646458625793,0.7591972947120667,0.6464646458625793,0.7591972947120667,0.6177607774734497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6177607774734497
55,0.6717171669006348,0.7709029912948608,0.6717171669006348,0.7709029912948608,0.5836001634597778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5836001634597778
60,0.6767676472663879,0.7926421165466309,0.6767676472663879,0.7926421165466309,0.5263168215751648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263168215751648
65,0.6767676472663879,0.8210702538490295,0.6767676472663879,0.8210702538490295,0.5107473731040955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5107473731040955
70,0.691919207572937,0.8361203670501709,0.691919207572937,0.8361203670501709,0.4823135733604431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4823135733604431
75,0.7020202279090881,0.8528428077697754,0.7020202279090881,0.8528428077697754,0.4070960581302643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4070960581302643
80,0.691919207572937,0.8695651888847351,0.691919207572937,0.8695651888847351,0.3983311355113983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3983311355113983
85,0.7020202279090881,0.8762542009353638,0.7020202279090881,0.8762542009353638,0.3643137514591217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3643137514591217
90,0.7171717286109924,0.8862876296043396,0.7171717286109924,0.8862876296043396,0.3386368453502655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3386368453502655
95,0.7222222089767456,0.8963210582733154,0.7222222089767456,0.8963210582733154,0.31407874822616577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31407874822616577
100,0.747474730014801,0.9096989631652832,0.747474730014801,0.9096989631652832,0.31494805216789246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31494805216789246
