epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.36868685483932495,0.3802345097064972,0.36868685483932495,0.3802345097064972,1.0992088317871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992088317871094
5,0.3737373650074005,0.38525962829589844,0.3737373650074005,0.38525962829589844,1.0812498331069946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0812498331069946
10,0.4292929172515869,0.4991624653339386,0.4292929172515869,0.4991624653339386,1.031333565711975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031333565711975
15,0.4545454680919647,0.5410385131835938,0.4545454680919647,0.5410385131835938,0.981816828250885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981816828250885
20,0.46464645862579346,0.5795645117759705,0.46464645862579346,0.5795645117759705,0.9025091528892517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9025091528892517
25,0.47979798913002014,0.6097152233123779,0.47979798913002014,0.6097152233123779,0.8380850553512573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8380850553512573
30,0.5151515007019043,0.6566163897514343,0.5151515007019043,0.6566163897514343,0.7700340151786804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7700340151786804
35,0.49494948983192444,0.6783919334411621,0.49494948983192444,0.6783919334411621,0.7157530188560486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7157530188560486
40,0.5101010203361511,0.7051926255226135,0.5101010203361511,0.7051926255226135,0.683760404586792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683760404586792
45,0.5202020406723022,0.7169179320335388,0.5202020406723022,0.7169179320335388,0.6344197392463684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6344197392463684
