epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3654822111129761,0.383584588766098,0.3654822111129761,0.383584588766098,1.103209376335144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103209376335144
5,0.3807106614112854,0.3701842427253723,0.3807106614112854,0.3701842427253723,1.0856597423553467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0856597423553467
10,0.4263959228992462,0.44556114077568054,0.4263959228992462,0.44556114077568054,1.0365869998931885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0365869998931885
15,0.4517766535282135,0.5309882760047913,0.4517766535282135,0.5309882760047913,0.9832496643066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9832496643066406
20,0.5126903653144836,0.5762143731117249,0.5126903653144836,0.5762143731117249,0.8989461064338684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8989461064338684
25,0.5228426456451416,0.5996649861335754,0.5228426456451416,0.5996649861335754,0.8354673981666565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8354673981666565
30,0.5583755970001221,0.6499162316322327,0.5583755970001221,0.6499162316322327,0.7866600751876831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7866600751876831
35,0.5431472063064575,0.6549413800239563,0.5431472063064575,0.6549413800239563,0.7550026178359985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7550026178359985
40,0.5431472063064575,0.6834170818328857,0.5431472063064575,0.6834170818328857,0.6829492449760437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6829492449760437
45,0.5736040472984314,0.715242862701416,0.5736040472984314,0.715242862701416,0.6642407774925232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6642407774925232
