epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3484848439693451,0.3645485043525696,0.3484848439693451,0.3645485043525696,1.1027404069900513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1027404069900513
5,0.3737373650074005,0.4431438148021698,0.3737373650074005,0.4431438148021698,1.080731987953186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.080731987953186
10,0.36868685483932495,0.4331103563308716,0.36868685483932495,0.4331103563308716,1.0587624311447144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587624311447144
15,0.3787878751754761,0.4498327672481537,0.3787878751754761,0.4498327672481537,1.037275791168213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.037275791168213
20,0.4292929172515869,0.49163877964019775,0.4292929172515869,0.49163877964019775,1.0139994621276855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0139994621276855
25,0.40909090638160706,0.5050167441368103,0.40909090638160706,0.5050167441368103,0.9843712449073792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9843712449073792
30,0.4444444477558136,0.5267558693885803,0.4444444477558136,0.5267558693885803,0.9508791565895081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9508791565895081
35,0.4444444477558136,0.5501672029495239,0.4444444477558136,0.5501672029495239,0.9145650863647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9145650863647461
40,0.46464645862579346,0.5752508044242859,0.46464645862579346,0.5752508044242859,0.882305920124054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882305920124054
45,0.4848484992980957,0.6153846383094788,0.4848484992980957,0.6153846383094788,0.8441548943519592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8441548943519592
50,0.5050504803657532,0.6404682397842407,0.5050504803657532,0.6404682397842407,0.8033396005630493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8033396005630493
55,0.5505050420761108,0.6622073650360107,0.5505050420761108,0.6622073650360107,0.7587341666221619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7587341666221619
60,0.560606062412262,0.6839464902877808,0.560606062412262,0.6839464902877808,0.7239291071891785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7239291071891785
65,0.5808081030845642,0.7224079966545105,0.5808081030845642,0.7224079966545105,0.6798331141471863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6798331141471863
70,0.6060606241226196,0.739130437374115,0.6060606241226196,0.739130437374115,0.6518356204032898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6518356204032898
75,0.6161616444587708,0.760869562625885,0.6161616444587708,0.760869562625885,0.609093427658081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609093427658081
80,0.6363636255264282,0.7842809557914734,0.6363636255264282,0.7842809557914734,0.5630919933319092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5630919933319092
85,0.6515151262283325,0.7976588606834412,0.6515151262283325,0.7976588606834412,0.5340702533721924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340702533721924
90,0.6565656661987305,0.8127090334892273,0.6565656661987305,0.8127090334892273,0.5192351341247559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5192351341247559
95,0.6666666865348816,0.8260869383811951,0.6666666865348816,0.8260869383811951,0.4707706868648529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4707706868648529
100,0.6666666865348816,0.8478260636329651,0.6666666865348816,0.8478260636329651,0.4433763325214386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4433763325214386
