epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.39898988604545593,0.4187604784965515,0.39898988604545593,0.4187604784965515,1.1001183986663818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001183986663818
5,0.39393940567970276,0.4606364965438843,0.39393940567970276,0.4606364965438843,1.0778703689575195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0778703689575195
10,0.42424243688583374,0.5075376629829407,0.42424243688583374,0.5075376629829407,1.0553300380706787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0553300380706787
15,0.4343434274196625,0.5058626532554626,0.4343434274196625,0.5058626532554626,1.0354520082473755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0354520082473755
20,0.4545454680919647,0.5242881178855896,0.4545454680919647,0.5242881178855896,1.0120857954025269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0120857954025269
25,0.4444444477558136,0.5326632857322693,0.4444444477558136,0.5326632857322693,0.9865015149116516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865015149116516
30,0.4141414165496826,0.5360133647918701,0.4141414165496826,0.5360133647918701,0.9532323479652405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9532323479652405
35,0.4444444477558136,0.571189284324646,0.4444444477558136,0.571189284324646,0.9167504906654358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167504906654358
40,0.4848484992980957,0.5845896005630493,0.4848484992980957,0.5845896005630493,0.874852180480957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.874852180480957
45,0.4898989796638489,0.6381909251213074,0.4898989796638489,0.6381909251213074,0.8389555215835571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8389555215835571
50,0.5454545617103577,0.663316547870636,0.5454545617103577,0.663316547870636,0.7923323512077332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7923323512077332
55,0.5404040217399597,0.6901172399520874,0.5404040217399597,0.6901172399520874,0.7488505840301514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7488505840301514
60,0.5656565427780151,0.7068676352500916,0.5656565427780151,0.7068676352500916,0.7066946029663086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7066946029663086
65,0.5757575631141663,0.7269681692123413,0.5757575631141663,0.7269681692123413,0.6634281873703003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6634281873703003
70,0.5757575631141663,0.7604690194129944,0.5757575631141663,0.7604690194129944,0.621620237827301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621620237827301
75,0.5959596037864685,0.787269651889801,0.5959596037864685,0.787269651889801,0.5947161316871643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5947161316871643
80,0.5959596037864685,0.7939698696136475,0.5959596037864685,0.7939698696136475,0.5513494610786438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513494610786438
85,0.5555555820465088,0.8107202649116516,0.5555555820465088,0.8107202649116516,0.523573100566864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523573100566864
90,0.5858585834503174,0.8207705020904541,0.5858585834503174,0.8207705020904541,0.5092642307281494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092642307281494
95,0.5757575631141663,0.8308207392692566,0.5757575631141663,0.8308207392692566,0.48788395524024963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48788395524024963
100,0.5656565427780151,0.8492462038993835,0.5656565427780151,0.8492462038993835,0.4615827202796936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615827202796936
105,0.5808081030845642,0.8509212732315063,0.5808081030845642,0.8509212732315063,0.4435052275657654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4435052275657654
110,0.6111111044883728,0.8559463620185852,0.6111111044883728,0.8559463620185852,0.42530152201652527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42530152201652527
115,0.6111111044883728,0.8592965006828308,0.6111111044883728,0.8592965006828308,0.405252069234848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405252069234848
