epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3401015102863312,0.34003350138664246,0.3401015102863312,0.34003350138664246,1.100619912147522,0.03129155933856964,4.258574335835874e-05,2.0639647118514404e-05,2.1946094420854934e-05,0.0,3.349099636077881,1.9735908508300781,13.755085945129395,0.0,0.8030612468719482,1.4777235984802246,0.0,0.04222261905670166,0.09853174537420273,0.0,1.1698710918426514
5,0.3654822111129761,0.3953098654747009,0.3654822111129761,0.3953098654747009,1.0959223508834839,0.008014545775949955,0.0011726011289283633,0.0006920627783983946,0.0004805383214261383,0.0,0.48705223202705383,0.35607847571372986,1.3097366094589233,0.0,0.8257073163986206,1.4040510654449463,0.0,0.05221540480852127,0.09195128083229065,0.5712071061134338,1.1125136613845825
10,0.39593908190727234,0.4053601324558258,0.39593908190727234,0.4053601324558258,1.0586706399917603,0.02073931135237217,0.02073710411787033,0.013720525428652763,0.007016577757894993,0.0,0.07622858136892319,0.06748802214860916,0.08740559965372086,0.0,0.8458380699157715,1.344185471534729,0.0,0.08170630037784576,0.06743061542510986,0.4824919104576111,1.0670802593231201
15,0.46192893385887146,0.5309882760047913,0.46192893385887146,0.5309882760047913,0.9799630045890808,0.06650728732347488,0.17338667809963226,0.14163975417613983,0.03174692764878273,0.0,0.11233363300561905,0.06417180597782135,0.48161837458610535,0.0,0.8248367309570312,1.4122108221054077,0.0,0.07630815356969833,0.07104448229074478,0.6989699006080627,0.9953128695487976
20,0.4822334945201874,0.572864294052124,0.4822334945201874,0.572864294052124,0.8975345492362976,0.04620829597115517,0.26152271032333374,0.19148708879947662,0.07003563642501831,0.0,0.09888546168804169,0.0479627288877964,0.5092272758483887,0.0,0.8156453967094421,1.4231069087982178,0.0,0.04031191021203995,0.08289577066898346,0.47458404302597046,0.9105001091957092
25,0.5126903653144836,0.6281406879425049,0.5126903653144836,0.6281406879425049,0.8350340127944946,0.05802921950817108,0.1846824437379837,0.1325387805700302,0.05214366316795349,0.0,0.11539766937494278,0.07202596217393875,0.43371710181236267,0.0,0.7992914915084839,1.4984740018844604,0.0,0.0348658487200737,0.076158307492733,0.31967049837112427,0.8463635444641113
30,0.5634517669677734,0.6850920915603638,0.5634517669677734,0.6850920915603638,0.7501325011253357,0.058321814984083176,0.11652089655399323,0.088729627430439,0.02779126726090908,0.0,0.11420043557882309,0.07778161019086838,0.36418819427490234,0.0,0.7711648941040039,1.6030815839767456,0.0,0.034596022218465805,0.0697346031665802,0.45906198024749756,0.7618879675865173
35,0.5786802172660828,0.7102177739143372,0.5786802172660828,0.7102177739143372,0.6773492693901062,0.08226211369037628,0.09950344264507294,0.07025472074747086,0.029248720034956932,0.0,0.1049191951751709,0.07161877304315567,0.3330041766166687,0.0,0.7312669157981873,1.7558298110961914,0.0,0.033744264394044876,0.05968513712286949,0.328960657119751,0.688605010509491
40,0.6192893385887146,0.767169177532196,0.6192893385887146,0.767169177532196,0.589735746383667,0.09713273495435715,0.111569844186306,0.06968806684017181,0.041881777346134186,0.0,0.12514618039131165,0.08932887017726898,0.3581732213497162,0.0,0.72650146484375,1.785935640335083,0.0,0.03170981630682945,0.04827388748526573,0.40093719959259033,0.6030391454696655
45,0.6345177292823792,0.8006700277328491,0.6345177292823792,0.8006700277328491,0.5383354425430298,0.12548421323299408,0.11454097926616669,0.07055870443582535,0.04398227483034134,0.0,0.1217760220170021,0.09200938791036606,0.29766637086868286,0.0,0.6239994764328003,2.210836410522461,0.0,0.030854925513267517,0.0431518629193306,0.4216809570789337,0.5532172322273254
