epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.35353535413742065,0.35451504588127136,0.35353535413742065,0.35451504588127136,1.099130630493164,0.026951799169182777,0.0,0.0,0.0,0.0,3.4064393043518066,1.9347599744796753,14.716793060302734,0.0,0.8151606321334839,1.4508275985717773,0.0,0.02971254289150238,0.09899396449327469,0.0,1.16925048828125
5,0.3636363744735718,0.3678929805755615,0.3636363744735718,0.3678929805755615,1.0944730043411255,0.0057340278290212154,0.0,0.0,0.0,0.0,1.1432441473007202,1.0089616775512695,1.342824101448059,0.0,0.6956599950790405,1.8049256801605225,0.0,0.04510295018553734,0.0984300822019577,0.5011535882949829,1.1233538389205933
10,0.4141414165496826,0.43979933857917786,0.4141414165496826,0.43979933857917786,1.0507869720458984,0.012292973697185516,0.0,0.0,0.0,0.0,0.5578294992446899,0.5172838568687439,0.4054565727710724,0.0,0.5778763294219971,2.3937437534332275,0.0,0.04970051720738411,0.09608668833971024,0.4381294250488281,1.0676684379577637
15,0.42424243688583374,0.476588636636734,0.42424243688583374,0.476588636636734,0.9730480909347534,0.028242401778697968,0.0,0.0,0.0,0.0,0.3655373156070709,0.3063924014568329,0.591448962688446,0.0,0.5924794673919678,2.3673477172851562,0.0,0.039755262434482574,0.09590422362089157,0.36109352111816406,0.9860601425170898
20,0.43939393758773804,0.5418060421943665,0.43939393758773804,0.5418060421943665,0.8822194933891296,0.052137456834316254,0.0,0.0,0.0,0.0,0.28373900055885315,0.21269015967845917,0.7104882001876831,0.0,0.5839092135429382,2.3240838050842285,0.0,0.03596491366624832,0.08778665214776993,0.46561044454574585,0.8957759737968445
25,0.4848484992980957,0.5919732451438904,0.4848484992980957,0.5919732451438904,0.8411080241203308,0.08318350464105606,0.0,0.0,0.0,0.0,0.23789368569850922,0.16122844815254211,0.7666524052619934,0.0,0.6422626972198486,2.013639450073242,0.0,0.033390890806913376,0.07994429767131805,0.45470577478408813,0.8551387786865234
30,0.5353535413742065,0.6337792873382568,0.5353535413742065,0.6337792873382568,0.7656512260437012,0.09058759361505508,0.0,0.0,0.0,0.0,0.21134236454963684,0.14140097796916962,0.699413537979126,0.0,0.6970031261444092,1.8171058893203735,0.0,0.030889857560396194,0.08201918005943298,0.48225757479667664,0.7797945141792297
35,0.5707070827484131,0.692307710647583,0.5707070827484131,0.692307710647583,0.7008689045906067,0.11645982414484024,0.0,0.0,0.0,0.0,0.2416052222251892,0.17603802680969238,0.6556719541549683,0.0,0.7442764043807983,1.669028401374817,0.0,0.030269671231508255,0.07924018800258636,0.8640732169151306,0.7207122445106506
40,0.6111111044883728,0.7575250864028931,0.6111111044883728,0.7575250864028931,0.6265560388565063,0.14050646126270294,0.0,0.0,0.0,0.0,0.24822263419628143,0.19262459874153137,0.5559800863265991,0.0,0.7515912055969238,1.6662882566452026,0.0,0.026601040735840797,0.07786919921636581,0.9964523315429688,0.6490326523780823
45,0.6161616444587708,0.7591972947120667,0.6161616444587708,0.7591972947120667,0.5845463275909424,0.16425667703151703,0.0,0.0,0.0,0.0,0.2613609731197357,0.2077450305223465,0.5361595749855042,3.2261809890243853e-10,0.7440824508666992,1.7026710510253906,0.0,0.02632318250834942,0.07935474067926407,0.8897668719291687,0.6074123978614807
50,0.6868686676025391,0.8093645572662354,0.6868686676025391,0.8093645572662354,0.5402613282203674,0.2056707888841629,0.0,0.0,0.0,0.0,0.2929564416408539,0.2206549048423767,0.7230146527290344,0.0,0.7213301658630371,1.7663671970367432,0.0,0.025362128391861916,0.07887565344572067,1.0606557130813599,0.5675318241119385
55,0.6818181872367859,0.829431414604187,0.6818181872367859,0.829431414604187,0.4727928042411804,0.22509828209877014,0.0,0.0,0.0,0.0,0.31619566679000854,0.24262338876724243,0.735722541809082,3.5484459658619016e-05,0.7059050798416138,1.9428354501724243,0.0,0.02097470872104168,0.08008762449026108,1.2660681009292603,0.5035379528999329
60,0.6818181872367859,0.8662207126617432,0.6818181872367859,0.8662207126617432,0.4200337529182434,0.2223770171403885,0.0,0.0,0.0,0.0,0.34810858964920044,0.27832648158073425,0.6978208422660828,9.542334737489e-06,0.710878312587738,1.8910844326019287,0.0,0.02018631063401699,0.07833881676197052,1.4467769861221313,0.4530752897262573
65,0.6969696879386902,0.8628762364387512,0.6969696879386902,0.8628762364387512,0.4316396117210388,0.24521607160568237,0.0,0.0,0.0,0.0,0.35421526432037354,0.2858986258506775,0.6831660866737366,1.1426442142692395e-05,0.7138128280639648,1.9098457098007202,0.0,0.020100397989153862,0.079411581158638,1.704439401626587,0.46852678060531616
70,0.7272727489471436,0.8662207126617432,0.7272727489471436,0.8662207126617432,0.38400134444236755,0.23379459977149963,0.0,0.0,0.0,0.0,0.39915475249290466,0.3169109523296356,0.8224376440048218,1.3706818208447658e-05,0.7068274617195129,1.9299432039260864,0.0,0.017223233357071877,0.07875824719667435,1.5228835344314575,0.41938304901123047
75,0.7424242496490479,0.8779264092445374,0.7424242496490479,0.8779264092445374,0.3662237524986267,0.25717511773109436,0.0,0.0,0.0,0.0,0.38597428798675537,0.31108540296554565,0.7488888502120972,1.0832618499989621e-05,0.7111915946006775,1.9152662754058838,0.0,0.018090106546878815,0.07746614515781403,1.6400260925292969,0.40368014574050903
80,0.7171717286109924,0.8846153616905212,0.7171717286109924,0.8846153616905212,0.30425357818603516,0.23998717963695526,0.0,0.0,0.0,0.0,0.3964918255805969,0.3156706690788269,0.8082119226455688,9.577634955348913e-06,0.7133356928825378,1.9232288599014282,0.0,0.014205112121999264,0.07745922356843948,1.667559266090393,0.3413167893886566
85,0.7171717286109924,0.9096989631652832,0.7171717286109924,0.9096989631652832,0.32758113741874695,0.21291930973529816,0.0,0.0,0.0,0.0,0.35068854689598083,0.2828606963157654,0.6782788038253784,2.793507746901014e-06,0.6822279691696167,1.9722537994384766,0.0,0.014106715098023415,0.07716253399848938,1.496565341949463,0.36066290736198425
90,0.7424242496490479,0.9130434989929199,0.7424242496490479,0.9130434989929199,0.3025273382663727,0.22486868500709534,0.0,0.0,0.0,0.0,0.4028455317020416,0.3257780373096466,0.7706739902496338,3.207535883120727e-06,0.7252354621887207,1.8777415752410889,0.0,0.014696478843688965,0.07578286528587341,1.3266973495483398,0.3355470895767212
95,0.7070707082748413,0.9080267548561096,0.7070707082748413,0.9080267548561096,0.2826046645641327,0.20107440650463104,0.0,0.0,0.0,0.0,0.3798185884952545,0.3047693967819214,0.7504920363426208,0.0,0.7098566889762878,1.8801708221435547,0.0,0.014209017157554626,0.07674428075551987,1.5884747505187988,0.31659430265426636
100,0.747474730014801,0.9147157073020935,0.747474730014801,0.9147157073020935,0.24443380534648895,0.210618793964386,0.0,0.0,0.0,0.0,0.39048513770103455,0.314749151468277,0.7573594450950623,3.5486102945014864e-08,0.7206438779830933,1.8768236637115479,0.0,0.013831024058163166,0.07443106174468994,1.5449782609939575,0.2786655128002167
105,0.7828282713890076,0.9464882612228394,0.7828282713890076,0.9464882612228394,0.24094179272651672,0.21008513867855072,0.0,0.0,0.0,0.0,0.3958185613155365,0.31702643632888794,0.7879210710525513,0.0,0.71214759349823,1.9009249210357666,0.0,0.014294127002358437,0.07261145859956741,1.1275545358657837,0.2710724472999573
110,0.747474730014801,0.9381271004676819,0.747474730014801,0.9381271004676819,0.20592418313026428,0.20744448900222778,0.0,0.0,0.0,0.0,0.38805320858955383,0.3144285976886749,0.7362461686134338,0.0,0.6895585656166077,1.9752840995788574,0.0,0.01425226777791977,0.07181774824857712,1.7020740509033203,0.24150854349136353
