epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.32828283309936523,0.32830819487571716,0.32828283309936523,0.32830819487571716,1.1019554138183594,0.027946174144744873,0.0,0.0,0.0,0.0,3.6386048793792725,2.014273166656494,16.243314743041992,0.0,0.8099032640457153,1.4371941089630127,0.0,0.038892872631549835,0.09686253219842911,0.0,1.1768035888671875
5,0.35353535413742065,0.3534338176250458,0.35353535413742065,0.3534338176250458,1.0957385301589966,0.005851742811501026,0.0,0.0,0.0,0.0,0.7859948873519897,0.639156699180603,1.4683808088302612,0.0,0.6613352298736572,1.9984700679779053,0.0,0.0661059319972992,0.08776126801967621,0.5529475808143616,1.1180498600006104
10,0.4444444477558136,0.4773869216442108,0.4444444477558136,0.4773869216442108,1.0531116724014282,0.01527843251824379,0.0,0.0,0.0,0.0,0.2728368043899536,0.24085712432861328,0.3197970986366272,0.0,0.4027858376502991,3.6319580078125,0.0,0.08473628014326096,0.06942407786846161,0.4538576006889343,1.0646415948867798
15,0.4141414165496826,0.5058626532554626,0.4141414165496826,0.5058626532554626,0.9943022727966309,0.05277035012841225,0.0,0.0,0.0,0.0,0.19353677332401276,0.1586747020483017,0.34862059354782104,0.0008732857531867921,0.3263694941997528,4.957275390625,0.0,0.07106070965528488,0.07174994796514511,0.47818729281425476,1.0063161849975586
20,0.469696968793869,0.5561138987541199,0.469696968793869,0.5561138987541199,0.9140431880950928,0.05206633731722832,0.0,0.0,0.0,0.0,0.21060414612293243,0.1436857134103775,0.6691842079162598,0.001688160002231598,0.28945979475975037,6.021105766296387,0.0,0.0630364641547203,0.06907272338867188,0.3718661069869995,0.9252546429634094
25,0.5505050420761108,0.6164153814315796,0.5505050420761108,0.6164153814315796,0.8218542337417603,0.048973891884088516,0.0,0.0,0.0,0.0,0.2117205262184143,0.1331442892551422,0.7857621312141418,0.005265610292553902,0.24583283066749573,9.062907218933105,0.0,0.05844844505190849,0.06871658563613892,0.3470296859741211,0.8326960802078247
30,0.5303030014038086,0.661641538143158,0.5303030014038086,0.661641538143158,0.7327272295951843,0.0823371410369873,0.0,0.0,0.0,0.0,0.21430201828479767,0.10884538292884827,1.0545663833618164,0.00554408086463809,0.23583969473838806,9.39255142211914,0.0,0.055782269686460495,0.06842978298664093,0.36197152733802795,0.7454262971878052
35,0.5707070827484131,0.7118927836418152,0.5707070827484131,0.7118927836418152,0.7120088338851929,0.09054592251777649,0.0,0.0,0.0,0.0,0.21138791739940643,0.11254241317510605,0.9884552955627441,0.004259605426341295,0.2356385588645935,8.720364570617676,0.0,0.055104829370975494,0.06720221042633057,0.45815542340278625,0.7259995937347412
40,0.5555555820465088,0.7286431789398193,0.5555555820465088,0.7286431789398193,0.6382273435592651,0.11896678060293198,0.0,0.0,0.0,0.0,0.21427471935749054,0.1114780530333519,1.0279662609100342,0.003991804085671902,0.22651131451129913,8.785749435424805,0.0,0.053769346326589584,0.06775921583175659,0.7929539084434509,0.6570383310317993
45,0.5909090638160706,0.7437185645103455,0.5909090638160706,0.7437185645103455,0.614021897315979,0.08950169384479523,0.0,0.0,0.0,0.0,0.21382489800453186,0.11831467598676682,0.9551020264625549,0.0028918085154145956,0.23137259483337402,7.997807025909424,0.0,0.05101298913359642,0.06714838743209839,0.39519476890563965,0.6273451447486877
