epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.34517765045166016,0.3450586199760437,0.34517765045166016,0.3450586199760437,1.0981708765029907,0.03129155933856964,4.258574335835874e-05,2.0639647118514404e-05,2.1946094420854934e-05,0.0,0.0,0.0,0.0,0.0,0.8030612468719482,1.4777235984802246,0.0,0.04222261905670166,0.09853174537420273,0.0,1.1004400253295898
5,0.4060913622379303,0.4187604784965515,0.4060913622379303,0.4187604784965515,1.0966472625732422,0.006474225781857967,5.434018748928793e-05,2.721545024542138e-05,2.7124737243866548e-05,0.0,0.0,0.0,0.0,0.0,0.7626437544822693,1.5739970207214355,0.0,0.028133293613791466,0.09633520245552063,0.7076162099838257,1.1046702861785889
10,0.44162434339523315,0.4606364965438843,0.44162434339523315,0.4606364965438843,1.057815670967102,0.01507267914712429,0.003926765639334917,0.0027215557638555765,0.0012052097590640187,0.0,0.0,0.0,0.0,0.0,0.5872541666030884,2.5317435264587402,0.0,0.026639670133590698,0.08564244210720062,0.48270824551582336,1.0640089511871338
15,0.5126903653144836,0.5209380388259888,0.5126903653144836,0.5209380388259888,0.9616668820381165,0.04422348737716675,0.03140384703874588,0.023827627301216125,0.00757621880620718,0.0,0.0,0.0,0.0,0.0,0.49438318610191345,3.3198142051696777,0.0,0.028679821640253067,0.08337912708520889,0.3785209059715271,0.96861332654953
20,0.5279187560081482,0.6080402135848999,0.5279187560081482,0.6080402135848999,0.8578457236289978,0.0474829263985157,0.029854129999876022,0.01990223303437233,0.009951896034181118,0.0,0.0,0.0,0.0,0.0,0.4937269687652588,3.244417190551758,0.0,0.020326724275946617,0.0791371613740921,0.37549149990081787,0.8648701906204224
25,0.5076141953468323,0.6566163897514343,0.5076141953468323,0.6566163897514343,0.7763031721115112,0.07948503643274307,0.08475901186466217,0.04978339746594429,0.03497561812400818,0.0,0.0,0.0,0.0,0.0,0.467858225107193,3.489842414855957,0.0,0.013144641183316708,0.07703667879104614,0.3192718029022217,0.7851184010505676
30,0.5431472063064575,0.7001674771308899,0.5431472063064575,0.7001674771308899,0.6936457753181458,0.06485176086425781,0.11274327337741852,0.04911235347390175,0.06363091617822647,0.0,0.0,0.0,0.0,0.0,0.46383750438690186,3.513186454772949,0.0,0.009103530086576939,0.07933028787374496,0.4126511514186859,0.7032208442687988
35,0.5989847779273987,0.7420435547828674,0.5989847779273987,0.7420435547828674,0.6093726754188538,0.08136621117591858,0.1360214799642563,0.04541235417127609,0.0906091257929802,0.0,0.0,0.0,0.0,0.0,0.44736000895500183,3.6739602088928223,0.0,0.006112623028457165,0.08126460015773773,0.4415556490421295,0.6205597519874573
40,0.6040608882904053,0.7973199486732483,0.6040608882904053,0.7973199486732483,0.5929607152938843,0.11880618333816528,0.1207369863986969,0.03705252334475517,0.08368445932865143,0.0,0.0,0.0,0.0,0.0,0.4794737994670868,3.5205554962158203,0.0,0.003494947450235486,0.0834052637219429,0.45422130823135376,0.6059219837188721
45,0.5939086079597473,0.7973199486732483,0.5939086079597473,0.7973199486732483,0.538187563419342,0.10983458906412125,0.20944936573505402,0.04655231907963753,0.1628970503807068,0.0,0.0,0.0,0.0,0.0,0.43293482065200806,3.8174490928649902,0.0,0.0030220728367567062,0.08438479900360107,0.4531378746032715,0.5523712038993835
