epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.32828283309936523,0.32830819487571716,0.32828283309936523,0.32830819487571716,1.1019554138183594,0.027946174144744873,3.464970723143779e-05,1.2286943274375517e-05,2.2362764866556972e-05,0.0,3.6386048793792725,2.014273166656494,16.243314743041992,0.0,0.0,0.0,0.0,0.038892872631549835,0.09686253219842911,0.0,1.1768041849136353
5,0.35353535413742065,0.3534338176250458,0.35353535413742065,0.3534338176250458,1.0957386493682861,0.005833127070218325,0.0016050450503826141,0.000837342522572726,0.0007677024696022272,0.0,0.7859634757041931,0.6390990018844604,1.468644380569458,0.0,0.0,0.0,0.0,0.06610433757305145,0.08776236325502396,0.5530645251274109,1.1180733442306519
10,0.4444444477558136,0.4773869216442108,0.4444444477558136,0.4773869216442108,1.053167462348938,0.014067702926695347,0.03139619901776314,0.02153838612139225,0.009857812896370888,0.0,0.2739675045013428,0.24178391695022583,0.321835994720459,0.0,0.0,0.0,0.0,0.08472368121147156,0.06945113092660904,0.45553159713745117,1.0650889873504639
15,0.4343434274196625,0.500837504863739,0.4343434274196625,0.500837504863739,0.9945382475852966,0.02173796109855175,0.12930545210838318,0.09391623735427856,0.03538921847939491,0.0,0.2270517200231552,0.16835859417915344,0.5869312882423401,0.0,0.0,0.0,0.0,0.071856789290905,0.07186010479927063,0.4901432991027832,1.0074331760406494
20,0.43939393758773804,0.552763819694519,0.43939393758773804,0.552763819694519,0.919782817363739,0.03313147649168968,0.1746753752231598,0.13448555767536163,0.04018981382250786,0.0,0.19936585426330566,0.1475573480129242,0.5180850625038147,0.0,0.0,0.0,0.0,0.06573442369699478,0.06797293573617935,0.4064972400665283,0.9323088526725769
25,0.5101010203361511,0.6264656782150269,0.5101010203361511,0.6264656782150269,0.8314290642738342,0.03169279173016548,0.10346172004938126,0.0744035542011261,0.029058165848255157,0.0,0.16929355263710022,0.12559877336025238,0.4369475245475769,0.0,0.0,0.0,0.0,0.06137198209762573,0.06601566821336746,0.3472553491592407,0.8418342471122742
30,0.5202020406723022,0.6465661525726318,0.5202020406723022,0.6465661525726318,0.7524285316467285,0.05270220339298248,0.06424129754304886,0.050681982189416885,0.01355931255966425,0.0,0.13809002935886383,0.09591999650001526,0.4217003583908081,0.0,0.0,0.0,0.0,0.05778266116976738,0.06456831097602844,0.3472974896430969,0.762688159942627
35,0.5555555820465088,0.7202680110931396,0.5555555820465088,0.7202680110931396,0.7086486220359802,0.061022140085697174,0.08880535513162613,0.06967224180698395,0.01913311332464218,0.0,0.15778453648090363,0.09653692692518234,0.6124759912490845,0.0,0.0,0.0,0.0,0.05331634357571602,0.06278195977210999,0.33820417523384094,0.7198973298072815
40,0.5555555820465088,0.7386934757232666,0.5555555820465088,0.7386934757232666,0.6310949325561523,0.0799780860543251,0.10162746161222458,0.07348587363958359,0.02814158797264099,0.0,0.1582578867673874,0.08928126841783524,0.6897661685943604,0.0,0.0,0.0,0.0,0.05098840594291687,0.0631677508354187,0.47624918818473816,0.6448899507522583
45,0.5858585834503174,0.7688441872596741,0.5858585834503174,0.7688441872596741,0.6179165840148926,0.07754561305046082,0.13109995424747467,0.0999131128191948,0.03118683584034443,0.0,0.1258314847946167,0.06343065947294235,0.6240081787109375,0.0,0.0,0.0,0.0,0.05253442004323006,0.06181468442082405,0.4391259253025055,0.6308963894844055
50,0.5707070827484131,0.7956448793411255,0.5707070827484131,0.7956448793411255,0.537174642086029,0.0883033275604248,0.16005262732505798,0.12808388471603394,0.031968746334314346,0.0,0.12353125214576721,0.06529572606086731,0.5823551416397095,0.0,0.0,0.0,0.0,0.05303988605737686,0.059260156005620956,0.6092017292976379,0.5526341199874878
55,0.6111111044883728,0.805695116519928,0.6111111044883728,0.805695116519928,0.5048843622207642,0.10926321893930435,0.1846090853214264,0.1339448094367981,0.050664272159338,0.0,0.14478902518749237,0.08265422284603119,0.621347963809967,0.0,0.0,0.0,0.0,0.05399363115429878,0.055159714072942734,0.5615853667259216,0.5217576026916504
60,0.5808081030845642,0.8073701858520508,0.5808081030845642,0.8073701858520508,0.4407435655593872,0.09908955544233322,0.1598648577928543,0.10863111168146133,0.051233742386102676,0.0,0.14574658870697021,0.09411277621984482,0.5163377523422241,0.0,0.0,0.0,0.0,0.05512719228863716,0.05411665514111519,0.6560161113739014,0.4578303396701813
65,0.5808081030845642,0.8458961248397827,0.5808081030845642,0.8458961248397827,0.44464045763015747,0.0918174758553505,0.17993983626365662,0.1218322291970253,0.058107610791921616,0.0,0.14683231711387634,0.09353112429380417,0.5330117344856262,0.0,0.0,0.0,0.0,0.05148222669959068,0.056608110666275024,0.6259084939956665,0.46134793758392334
70,0.5959596037864685,0.8308207392692566,0.5959596037864685,0.8308207392692566,0.4124923348426819,0.09314349293708801,0.16072171926498413,0.11421304941177368,0.04650867357850075,0.0,0.1543174833059311,0.10309925675392151,0.5121822953224182,0.0,0.0,0.0,0.0,0.048900727182626724,0.05760194733738899,0.7974103093147278,0.43081480264663696
75,0.6060606241226196,0.8693467378616333,0.6060606241226196,0.8693467378616333,0.41626831889152527,0.1062944158911705,0.17510172724723816,0.1297394186258316,0.045362308621406555,0.0,0.14913338422775269,0.09487830102443695,0.5425510406494141,0.0,0.0,0.0,0.0,0.04874242842197418,0.05747948959469795,0.9262483716011047,0.4365639090538025
80,0.631313145160675,0.8676716685295105,0.631313145160675,0.8676716685295105,0.33428770303726196,0.10790763795375824,0.18871745467185974,0.13486027717590332,0.05385718122124672,0.0,0.15609502792358398,0.10485613346099854,0.512389063835144,0.0,0.0,0.0,0.0,0.047500573098659515,0.05771096050739288,1.0677905082702637,0.35643470287323
85,0.6414141654968262,0.8659966588020325,0.6414141654968262,0.8659966588020325,0.38161394000053406,0.10316722095012665,0.21317872405052185,0.1510511189699173,0.06212761253118515,0.0,0.16952119767665863,0.1206086277961731,0.48912572860717773,0.0,0.0,0.0,0.0,0.046465761959552765,0.05708334967494011,0.8314713835716248,0.4017482399940491
90,0.6262626051902771,0.8978224396705627,0.6262626051902771,0.8978224396705627,0.332017183303833,0.11374307423830032,0.21534132957458496,0.1475582718849182,0.06778305023908615,0.0,0.1891021728515625,0.13915535807609558,0.49946823716163635,0.0,0.0,0.0,0.0,0.04730745777487755,0.055054906755685806,0.9008407592773438,0.3538378179073334
95,0.6616161465644836,0.8994974493980408,0.6616161465644836,0.8994974493980408,0.3292674422264099,0.12476302683353424,0.26802927255630493,0.17825140058994293,0.0897778645157814,0.0,0.19894777238368988,0.1427486538887024,0.561991274356842,0.0,0.0,0.0,0.0,0.047661278396844864,0.0548093244433403,1.145955204963684,0.3550345301628113
100,0.6363636255264282,0.9195979833602905,0.6363636255264282,0.9195979833602905,0.2787948548793793,0.1204921081662178,0.2267308533191681,0.15170438587665558,0.07502645999193192,0.0,0.2039351761341095,0.14915670454502106,0.5477849841117859,0.0,0.0,0.0,0.0,0.04730098322033882,0.055128514766693115,0.8912045359611511,0.3013399541378021
105,0.6666666865348816,0.9262981414794922,0.6666666865348816,0.9262981414794922,0.2767680883407593,0.11666639894247055,0.16807080805301666,0.10866881906986237,0.059401992708444595,0.0,0.19642306864261627,0.1451805680990219,0.5124250650405884,0.0,0.0,0.0,0.0,0.045267920941114426,0.056447770446538925,1.1053143739700317,0.3003663122653961
110,0.691919207572937,0.9363483786582947,0.691919207572937,0.9363483786582947,0.2507368326187134,0.1183408573269844,0.22476789355278015,0.15382063388824463,0.07094725966453552,0.0,0.20210960507392883,0.1496986448764801,0.5241096019744873,0.0,0.0,0.0,0.0,0.04192487150430679,0.0560755655169487,1.1125658750534058,0.27526888251304626
