epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.34517765045166016,0.3450586199760437,0.34517765045166016,0.3450586199760437,1.0981708765029907,0.03129155933856964,4.258574335835874e-05,2.0639647118514404e-05,2.1946094420854934e-05,0.0,3.349099636077881,1.9735908508300781,13.755085945129395,0.0,0.0,0.0,0.0,0.04222261905670166,0.09853174537420273,0.0,1.1674220561981201
5,0.39086294174194336,0.3953098654747009,0.39086294174194336,0.3953098654747009,1.096087098121643,0.007458630483597517,0.0010445013176649809,0.0006012080702930689,0.0004432933055795729,0.0,0.48695921897888184,0.3559584319591522,1.3100084066390991,0.0,0.0,0.0,0.0,0.052545882761478424,0.09217941761016846,0.5803323984146118,1.1127408742904663
10,0.4568527936935425,0.42211055755615234,0.4568527936935425,0.42211055755615234,1.0482224225997925,0.014810379594564438,0.020025653764605522,0.014056324027478695,0.00596932927146554,0.0,0.06551782041788101,0.05697683244943619,0.08540985733270645,0.0,0.0,0.0,0.0,0.07739650458097458,0.07194114476442337,0.4924575686454773,1.0562043190002441
15,0.4568527936935425,0.5594639778137207,0.4568527936935425,0.5594639778137207,0.9766561388969421,0.030176980420947075,0.08014339208602905,0.05969000607728958,0.02045338973402977,0.0,0.09890612959861755,0.06528822332620621,0.33617904782295227,0.0,0.0,0.0,0.0,0.04846245050430298,0.08256494253873825,0.5965468287467957,0.987769603729248
20,0.5126903653144836,0.6113902926445007,0.5126903653144836,0.6113902926445007,0.8917255997657776,0.05111467093229294,0.26735663414001465,0.1987794190645218,0.06857722997665405,0.0,0.1359948068857193,0.08638063073158264,0.49614179134368896,0.0,0.0,0.0,0.0,0.02873891592025757,0.08276698738336563,0.3997558355331421,0.9049156904220581
25,0.5025380849838257,0.6666666865348816,0.5025380849838257,0.6666666865348816,0.7830894589424133,0.0700192078948021,0.30466151237487793,0.20139135420322418,0.10327016562223434,0.0,0.22890758514404297,0.17430903017520905,0.5459856390953064,0.0,0.0,0.0,0.0,0.027831589803099632,0.07820609211921692,0.4969678819179535,0.8007477521896362
30,0.5583755970001221,0.7102177739143372,0.5583755970001221,0.7102177739143372,0.7050546407699585,0.0817774087190628,0.30678802728652954,0.22108441591262817,0.08570360392332077,0.0,0.19480423629283905,0.14568942785263062,0.4911479353904724,0.0,0.0,0.0,0.0,0.02743452601134777,0.07574889063835144,0.43766164779663086,0.721856951713562
35,0.5532994866371155,0.6934673190116882,0.5532994866371155,0.6934673190116882,0.6356672048568726,0.09255166351795197,0.33941686153411865,0.23195618391036987,0.10746069252490997,0.0,0.2525768578052521,0.1951809823513031,0.5739585757255554,0.0,0.0,0.0,0.0,0.026291657239198685,0.07574447989463806,0.40811875462532043,0.6544065475463867
40,0.5482233166694641,0.7571189403533936,0.5482233166694641,0.7571189403533936,0.5885238647460938,0.09827229380607605,0.3092992603778839,0.20685578882694244,0.10244346410036087,0.0,0.2413671761751175,0.1774751991033554,0.6389199495315552,0.0,0.0,0.0,0.0,0.02602567709982395,0.07089012116193771,0.5277238488197327,0.6081440448760986
45,0.5989847779273987,0.7889447212219238,0.5989847779273987,0.7889447212219238,0.531636118888855,0.11302758008241653,0.31379735469818115,0.2132764309644699,0.10052090883255005,0.0,0.255420446395874,0.18870818614959717,0.6671221852302551,0.0,0.0,0.0,0.0,0.025430133566260338,0.07076331228017807,0.5815171599388123,0.5528351664543152
50,0.6142131686210632,0.8224455714225769,0.6142131686210632,0.8224455714225769,0.4641059637069702,0.1381874978542328,0.28695356845855713,0.19784662127494812,0.08910693228244781,0.0,0.24381858110427856,0.17668743431568146,0.671311616897583,0.0,0.0,0.0,0.0,0.023667654022574425,0.06891627609729767,0.8787004351615906,0.4889022409915924
55,0.6497461795806885,0.8525962829589844,0.6497461795806885,0.8525962829589844,0.4306414723396301,0.16468875110149384,0.32655203342437744,0.2203795462846756,0.10617249459028244,0.0,0.2460431456565857,0.1793559193611145,0.6668719053268433,0.0,0.0,0.0,0.0,0.025486230850219727,0.06784798204898834,0.9491869211196899,0.45808255672454834
60,0.6446700096130371,0.8609715104103088,0.6446700096130371,0.8609715104103088,0.3975042700767517,0.16745711863040924,0.2883010804653168,0.20160405337810516,0.08669702708721161,0.0,0.23691917955875397,0.17608150839805603,0.608376681804657,0.0,0.0,0.0,0.0,0.023695295676589012,0.06773440539836884,1.1002408266067505,0.4258250296115875
65,0.7005075812339783,0.8944723606109619,0.7005075812339783,0.8944723606109619,0.35444945096969604,0.15491777658462524,0.2999686002731323,0.2190789431333542,0.08088964968919754,0.0,0.23466144502162933,0.17157047986984253,0.63090980052948,0.0,0.0,0.0,0.0,0.023098809644579887,0.06586362421512604,0.8468679189682007,0.37961065769195557
70,0.7309644222259521,0.8844221234321594,0.7309644222259521,0.8844221234321594,0.35621580481529236,0.15206588804721832,0.31886398792266846,0.2295556366443634,0.08930835127830505,0.0,0.25323429703712463,0.19421403110027313,0.5902024507522583,0.0,0.0,0.0,0.0,0.023533355444669724,0.06392066180706024,1.0387725830078125,0.3837904930114746
75,0.7360405921936035,0.927973210811615,0.7360405921936035,0.927973210811615,0.2765367925167084,0.18266154825687408,0.3213512897491455,0.23077701032161713,0.09057428687810898,0.0,0.25921136140823364,0.19601155817508698,0.6319980621337891,0.0,0.0,0.0,0.0,0.02285623922944069,0.06438761949539185,1.568175196647644,0.3110913038253784
80,0.6649746298789978,0.909547746181488,0.6649746298789978,0.909547746181488,0.23009420931339264,0.18343143165111542,0.30862587690353394,0.22112342715263367,0.08750244975090027,0.0,0.27383723855018616,0.21359530091285706,0.602419376373291,0.0,0.0,0.0,0.0,0.022197317332029343,0.06398483365774155,1.3654279708862305,0.2627890110015869
85,0.7309644222259521,0.9380234479904175,0.7309644222259521,0.9380234479904175,0.23962676525115967,0.1754053384065628,0.27765247225761414,0.20383626222610474,0.0738162025809288,0.0,0.2648587226867676,0.2130960375070572,0.5176266431808472,0.0,0.0,0.0,0.0,0.02142171747982502,0.0649995431303978,1.6566264629364014,0.27420729398727417
90,0.7258883118629456,0.9497487545013428,0.7258883118629456,0.9497487545013428,0.17644235491752625,0.16218316555023193,0.28315842151641846,0.20718730986118317,0.07597111910581589,0.0,0.2704029381275177,0.21266482770442963,0.5773809552192688,0.0,0.0,0.0,0.0,0.02092592418193817,0.06471151858568192,1.0897961854934692,0.20487703382968903
95,0.6903553009033203,0.9430485367774963,0.6903553009033203,0.9430485367774963,0.1899174451828003,0.15635795891284943,0.3144674301147461,0.22905559837818146,0.08541182428598404,0.0,0.2662765681743622,0.21859098970890045,0.4768557846546173,0.0,0.0,0.0,0.0,0.0210553165525198,0.06447291374206543,1.085347056388855,0.21834078431129456
100,0.7005075812339783,0.9547738432884216,0.7005075812339783,0.9547738432884216,0.20545251667499542,0.15845398604869843,0.36168956756591797,0.26043856143951416,0.1012510135769844,0.0,0.2846367359161377,0.23317112028598785,0.514656126499176,0.0,0.0,0.0,0.0,0.0229497030377388,0.06333611160516739,1.2583979368209839,0.2367127686738968
105,0.7055837512016296,0.9530988335609436,0.7055837512016296,0.9530988335609436,0.19679327309131622,0.16151480376720428,0.3970293700695038,0.28432658314704895,0.11270279437303543,0.0,0.2683559060096741,0.21490220725536346,0.534537136554718,0.0,0.0,0.0,0.0,0.021447433158755302,0.06454765796661377,1.3622105121612549,0.22938553988933563
110,0.7461928725242615,0.9346733689308167,0.7461928725242615,0.9346733689308167,0.18765082955360413,0.1533476859331131,0.2954552173614502,0.21750295162200928,0.07795225828886032,0.0,0.27802610397338867,0.2274305373430252,0.50595623254776,0.0,0.0,0.0,0.0,0.02200031839311123,0.06342001259326935,0.9933179616928101,0.2149730771780014
115,0.7360405921936035,0.9681742191314697,0.7360405921936035,0.9681742191314697,0.16784660518169403,0.15896597504615784,0.2701023817062378,0.18448537588119507,0.08561699092388153,0.0,0.25443312525749207,0.19765163958072662,0.5678149461746216,0.0,0.0,0.0,0.0,0.020390769466757774,0.06303299218416214,1.1674174070358276,0.19653204083442688
120,0.7258883118629456,0.9681742191314697,0.7258883118629456,0.9681742191314697,0.16531342267990112,0.19196435809135437,0.27684471011161804,0.20685641467571259,0.06998828798532486,0.0,0.26761966943740845,0.2163844108581543,0.5123525857925415,0.0,0.0,0.0,0.0,0.020124761387705803,0.06400664150714874,1.271986722946167,0.19687290489673615
125,0.7664974331855774,0.981574535369873,0.7664974331855774,0.981574535369873,0.1316031813621521,0.17671990394592285,0.2665253281593323,0.19906678795814514,0.06745852530002594,0.0,0.2628263235092163,0.20937243103981018,0.5345389246940613,0.0,0.0,0.0,0.0,0.018769895657896996,0.06385782361030579,1.3087575435638428,0.16253624856472015
130,0.7157360315322876,0.9782244563102722,0.7157360315322876,0.9782244563102722,0.12138953059911728,0.1773531138896942,0.2811427116394043,0.2103021889925003,0.07084052264690399,0.0,0.29098227620124817,0.23442290723323822,0.565593421459198,0.0,0.0,0.0,0.0,0.019804008305072784,0.06219244748353958,1.2187706232070923,0.15219435095787048
135,0.7614213228225708,0.9748743772506714,0.7614213228225708,0.9748743772506714,0.10355845838785172,0.17144985496997833,0.26098793745040894,0.19860947132110596,0.06237845495343208,0.0,0.2807920277118683,0.22041451930999756,0.6037746667861938,0.0,0.0,0.0,0.0,0.019024737179279327,0.060666732490062714,1.2792916297912598,0.13417182862758636
140,0.7360405921936035,0.9832495450973511,0.7360405921936035,0.9832495450973511,0.14636161923408508,0.15877656638622284,0.3127442002296448,0.22636708617210388,0.0863771140575409,0.0,0.3097367286682129,0.2564511001110077,0.5328563451766968,0.0,0.0,0.0,0.0,0.017396656796336174,0.0617632195353508,1.19668710231781,0.17684905230998993
145,0.7157360315322876,0.981574535369873,0.7157360315322876,0.981574535369873,0.12937746942043304,0.16384528577327728,0.2522282004356384,0.17654633522033691,0.07568188011646271,0.0,0.3045949935913086,0.25501903891563416,0.4957594871520996,0.0,0.0,0.0,0.0,0.017592571675777435,0.061833932995796204,1.0217102766036987,0.1575549691915512
150,0.7157360315322876,0.9748743772506714,0.7157360315322876,0.9748743772506714,0.13017940521240234,0.16204717755317688,0.2467269003391266,0.1778838038444519,0.06884308904409409,0.0,0.3094446063041687,0.25603562593460083,0.5340898633003235,0.0,0.0,0.0,0.0,0.017753377556800842,0.06228259205818176,1.1325653791427612,0.15935221314430237
155,0.7106598615646362,0.981574535369873,0.7106598615646362,0.981574535369873,0.1382828801870346,0.14863164722919464,0.25408729910850525,0.1859988123178482,0.06808848679065704,0.0,0.3011857569217682,0.25317510962486267,0.4801064133644104,0.0,0.0,0.0,0.0,0.018011026084423065,0.06059008464217186,0.914904773235321,0.16450199484825134
160,0.7461928725242615,0.9882746934890747,0.7461928725242615,0.9882746934890747,0.10549642890691757,0.14950303733348846,0.2653370499610901,0.19576767086982727,0.06956937164068222,0.0,0.30530789494514465,0.2594814896583557,0.4582640826702118,0.0,0.0,0.0,0.0,0.017648817971348763,0.06054270640015602,1.1907786130905151,0.13472555577754974
165,0.7563451528549194,0.9932998418807983,0.7563451528549194,0.9932998418807983,0.08168619126081467,0.15371789038181305,0.27428382635116577,0.20621933043003082,0.06806448847055435,0.0,0.2940886318683624,0.2400968372821808,0.5399177670478821,0.0,0.0,0.0,0.0,0.018619075417518616,0.05941857770085335,0.9897762537002563,0.10896528512239456
