epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3636363744735718,0.3678929805755615,0.3636363744735718,0.3678929805755615,1.1009278297424316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1009278297424316
5,0.39898988604545593,0.45652174949645996,0.39898988604545593,0.45652174949645996,1.059880256652832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059880256652832
10,0.4444444477558136,0.5484949946403503,0.4444444477558136,0.5484949946403503,0.952017605304718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952017605304718
15,0.4848484992980957,0.6321070194244385,0.4848484992980957,0.6321070194244385,0.8771365284919739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771365284919739
20,0.5404040217399597,0.6688963174819946,0.5404040217399597,0.6688963174819946,0.7858337759971619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7858337759971619
25,0.560606062412262,0.7006688714027405,0.560606062412262,0.7006688714027405,0.6970288157463074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6970288157463074
30,0.5959596037864685,0.7441471219062805,0.5959596037864685,0.7441471219062805,0.6615098714828491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6615098714828491
35,0.6818181872367859,0.7926421165466309,0.6818181872367859,0.7926421165466309,0.5922247767448425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5922247767448425
40,0.6818181872367859,0.7993310689926147,0.6818181872367859,0.7993310689926147,0.5846206545829773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5846206545829773
45,0.6818181872367859,0.832775890827179,0.6818181872367859,0.832775890827179,0.49874699115753174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49874699115753174
50,0.747474730014801,0.8494983315467834,0.747474730014801,0.8494983315467834,0.46087905764579773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46087905764579773
55,0.7070707082748413,0.8561872839927673,0.7070707082748413,0.8561872839927673,0.42828842997550964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42828842997550964
60,0.7272727489471436,0.872909665107727,0.7272727489471436,0.872909665107727,0.3947703242301941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3947703242301941
65,0.7323232293128967,0.9046822786331177,0.7323232293128967,0.9046822786331177,0.3785057067871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3785057067871094
70,0.747474730014801,0.9096989631652832,0.747474730014801,0.9096989631652832,0.2956777513027191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2956777513027191
75,0.7727272510528564,0.9163879752159119,0.7727272510528564,0.9163879752159119,0.31281471252441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31281471252441406
