epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3737373650074005,0.3953098654747009,0.3737373650074005,0.3953098654747009,1.1041507720947266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1041507720947266
5,0.40909090638160706,0.47068676352500916,0.40909090638160706,0.47068676352500916,1.0637861490249634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0637861490249634
10,0.4545454680919647,0.5628140568733215,0.4545454680919647,0.5628140568733215,0.9633185863494873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9633185863494873
15,0.44949495792388916,0.6080402135848999,0.44949495792388916,0.6080402135848999,0.8588480949401855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8588480949401855
20,0.4747474789619446,0.6817420125007629,0.4747474789619446,0.6817420125007629,0.7701287269592285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7701287269592285
25,0.5050504803657532,0.713567852973938,0.5050504803657532,0.713567852973938,0.6896501183509827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6896501183509827
30,0.5202020406723022,0.733668327331543,0.5202020406723022,0.733668327331543,0.6368013024330139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6368013024330139
35,0.5808081030845642,0.7822445631027222,0.5808081030845642,0.7822445631027222,0.6014263033866882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6014263033866882
40,0.5909090638160706,0.8006700277328491,0.5909090638160706,0.8006700277328491,0.5190325379371643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5190325379371643
45,0.631313145160675,0.8174204230308533,0.631313145160675,0.8174204230308533,0.4838201701641083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4838201701641083
50,0.6111111044883728,0.8592965006828308,0.6111111044883728,0.8592965006828308,0.4625035524368286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4625035524368286
55,0.6262626051902771,0.8726968169212341,0.6262626051902771,0.8726968169212341,0.4293127655982971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293127655982971
60,0.6565656661987305,0.8693467378616333,0.6565656661987305,0.8693467378616333,0.3976063132286072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3976063132286072
65,0.6464646458625793,0.8978224396705627,0.6464646458625793,0.8978224396705627,0.3741381764411926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3741381764411926
70,0.6111111044883728,0.909547746181488,0.6111111044883728,0.909547746181488,0.3009231686592102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3009231686592102
75,0.6515151262283325,0.9162479043006897,0.6515151262283325,0.9162479043006897,0.32082241773605347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32082241773605347
80,0.6515151262283325,0.9262981414794922,0.6515151262283325,0.9262981414794922,0.3014306128025055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3014306128025055
85,0.6717171669006348,0.9212729930877686,0.6717171669006348,0.9212729930877686,0.2577000558376312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577000558376312
90,0.6565656661987305,0.9413735270500183,0.6565656661987305,0.9413735270500183,0.24746429920196533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24746429920196533
95,0.631313145160675,0.9447236061096191,0.631313145160675,0.9447236061096191,0.236696258187294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236696258187294
100,0.6717171669006348,0.9463986754417419,0.6717171669006348,0.9463986754417419,0.20067870616912842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20067870616912842
105,0.6464646458625793,0.94807368516922,0.6464646458625793,0.94807368516922,0.23707576096057892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23707576096057892
110,0.6363636255264282,0.9648240804672241,0.6363636255264282,0.9648240804672241,0.19063639640808105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19063639640808105
115,0.6464646458625793,0.9597989916801453,0.6464646458625793,0.9597989916801453,0.20315329730510712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315329730510712
120,0.6666666865348816,0.9748743772506714,0.6666666865348816,0.9748743772506714,0.16580016911029816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16580016911029816
125,0.631313145160675,0.9597989916801453,0.631313145160675,0.9597989916801453,0.15116384625434875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15116384625434875
