epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3604060709476471,0.40871021151542664,0.3604060709476471,0.40871021151542664,1.1008021831512451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1008021831512451
5,0.4060913622379303,0.49246230721473694,0.4060913622379303,0.49246230721473694,1.0447298288345337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447298288345337
10,0.4822334945201874,0.571189284324646,0.4822334945201874,0.571189284324646,0.9468685388565063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9468685388565063
15,0.46700507402420044,0.6214405298233032,0.46700507402420044,0.6214405298233032,0.826236367225647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826236367225647
20,0.5279187560081482,0.6767169237136841,0.5279187560081482,0.6767169237136841,0.7705071568489075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705071568489075
25,0.5685279369354248,0.7051926255226135,0.5685279369354248,0.7051926255226135,0.6956489086151123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956489086151123
30,0.6243654489517212,0.7219430208206177,0.6243654489517212,0.7219430208206177,0.6497914791107178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497914791107178
35,0.5888324975967407,0.7437185645103455,0.5888324975967407,0.7437185645103455,0.637142539024353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637142539024353
40,0.6243654489517212,0.7839195728302002,0.6243654489517212,0.7839195728302002,0.5394769906997681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394769906997681
45,0.6192893385887146,0.787269651889801,0.6192893385887146,0.787269651889801,0.5525385141372681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525385141372681
50,0.6548223495483398,0.8207705020904541,0.6548223495483398,0.8207705020904541,0.5039851665496826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5039851665496826
55,0.6700507402420044,0.8308207392692566,0.6700507402420044,0.8308207392692566,0.4532676637172699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4532676637172699
60,0.6345177292823792,0.8592965006828308,0.6345177292823792,0.8592965006828308,0.4191381335258484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4191381335258484
65,0.7055837512016296,0.8659966588020325,0.7055837512016296,0.8659966588020325,0.4003862142562866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4003862142562866
70,0.7005075812339783,0.8927972912788391,0.7005075812339783,0.8927972912788391,0.3806074857711792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3806074857711792
