epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.1428571492433548,0.15892420709133148,0.1428571492433548,0.15892420709133148,1.6179635524749756,0.0342731736600399,5.739829794038087e-05,2.140399010386318e-05,3.599430783651769e-05,0.0,3.521034002304077,1.9372457265853882,15.837882995605469,0.0,0.8410028219223022,1.3654106855392456,0.0,0.06281477212905884,0.12465529143810272,0.0,1.6910361051559448
5,0.299651563167572,0.31784841418266296,0.299651563167572,0.31784841418266296,1.5970802307128906,0.005209187511354685,0.0007519883802160621,0.0003671649028547108,0.00038482347736135125,0.0,0.5797600150108337,0.4694155156612396,1.1034448146820068,0.0,0.5656042695045471,2.2984611988067627,0.0,0.06518542021512985,0.12094952911138535,0.0,1.6098780632019043
10,0.37979093194007874,0.415647953748703,0.37979093194007874,0.415647953748703,1.3635214567184448,0.030897974967956543,0.15452972054481506,0.10917697101831436,0.045352753251791,0.0,0.29313504695892334,0.20878395438194275,0.8435108065605164,0.00018332722538616508,0.26050716638565063,5.835769176483154,0.0,0.06274169683456421,0.12459376454353333,0.0,1.3738664388656616
15,0.4390243887901306,0.6430318355560303,0.4390243887901306,0.6430318355560303,1.1065677404403687,0.08668620139360428,0.2090514451265335,0.1500265747308731,0.0590248741209507,0.0,0.23684214055538177,0.1566152721643448,0.8022686839103699,0.0008374531171284616,0.19234052300453186,7.504981517791748,0.0,0.06272675096988678,0.12384461611509323,0.0,1.1192609071731567
20,0.40766552090644836,0.7995110154151917,0.40766552090644836,0.7995110154151917,0.6919211149215698,0.36499860882759094,0.36489444971084595,0.26941925287246704,0.0954752042889595,0.0,0.239417165517807,0.1347632110118866,1.0465391874313354,0.005872329697012901,0.13070714473724365,11.481844902038574,0.0,0.06443750858306885,0.11820859462022781,0.0,0.7205349802970886
25,0.3623693287372589,0.8704156875610352,0.3623693287372589,0.8704156875610352,0.4140414595603943,0.5908427834510803,0.6593831181526184,0.5044394135475159,0.15494370460510254,0.0,0.2248014360666275,0.1261242926120758,0.9867717027664185,0.012646676041185856,0.0964946448802948,16.849565505981445,0.0,0.06530720740556717,0.1076154038310051,0.0,0.45721402764320374
30,0.39372822642326355,0.9388753175735474,0.39372822642326355,0.9388753175735474,0.2348211109638214,0.442295104265213,0.49623551964759827,0.33789175748825073,0.15834376215934753,0.0,0.17179806530475616,0.09599392116069794,0.7580413222312927,0.018802590668201447,0.07455410063266754,20.55611228942871,0.0,0.0516573004424572,0.1067437157034874,0.0,0.26789769530296326
35,0.38327527046203613,0.9608802199363708,0.38327527046203613,0.9608802199363708,0.13579976558685303,0.3203548192977905,0.3029898703098297,0.19561922550201416,0.10737065225839615,0.0,0.2279215306043625,0.11593848466873169,1.1198303699493408,0.01595396175980568,0.08083292841911316,19.339599609375,0.0,0.04547487571835518,0.09972882270812988,0.0,0.1613650918006897
40,0.3658536672592163,0.9853301048278809,0.3658536672592163,0.9853301048278809,0.09443783760070801,0.26834920048713684,0.3731870651245117,0.2476472407579422,0.1255398392677307,0.0,0.2151944935321808,0.11361615359783173,1.0157835483551025,0.02251300774514675,0.07697638869285583,23.497976303100586,0.0,0.039262741804122925,0.0951605960726738,0.0,0.1180436983704567
45,0.3414634168148041,0.9902200698852539,0.3414634168148041,0.9902200698852539,0.08779685199260712,0.24181799590587616,0.37354254722595215,0.2672613859176636,0.10628115385770798,0.0,0.21470482647418976,0.1195930615067482,0.9511176347732544,0.022740023210644722,0.08313927799463272,23.598644256591797,0.0,0.03561936318874359,0.0969950333237648,0.0,0.1098705530166626
50,0.31707316637039185,0.9951100945472717,0.31707316637039185,0.9951100945472717,0.06283406913280487,0.19688360393047333,0.39650070667266846,0.2945277988910675,0.10197290778160095,0.0,0.2636466324329376,0.17221330106258392,0.9143331050872803,0.0201741773635149,0.10591002553701401,21.517580032348633,0.0,0.0207492895424366,0.11025256663560867,0.0,0.08379266411066055
55,0.3414634168148041,0.9926650524139404,0.3414634168148041,0.9926650524139404,0.03734523057937622,0.19878385961055756,0.39944952726364136,0.2924657464027405,0.10698379576206207,0.0,0.32250210642814636,0.22717608511447906,0.9532603621482849,0.015433457680046558,0.12009891122579575,18.29294204711914,0.0,0.010867740958929062,0.12069935351610184,0.0,0.05961097031831741
60,0.32752612233161926,0.9951100945472717,0.32752612233161926,0.9951100945472717,0.031625185161828995,0.17760558426380157,0.35972532629966736,0.2622449994087219,0.09748032689094543,0.0,0.32069480419158936,0.2312561571598053,0.8943861722946167,0.011152387596666813,0.13450981676578522,15.008334159851074,0.0,0.009036584757268429,0.1224643737077713,0.0,0.05226045101881027
65,0.3414634168148041,0.9951100945472717,0.3414634168148041,0.9951100945472717,0.019066117703914642,0.14400698244571686,0.3746950626373291,0.2632848620414734,0.1114102154970169,0.0,0.2862066626548767,0.19781428575515747,0.883924126625061,0.008947647176682949,0.14677932858467102,12.950475692749023,0.0,0.007531344424933195,0.12296279519796371,0.0,0.037593599408864975
