epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.03759929537773132,0.037595976144075394,0.03759929537773132,0.037595976144075394,2.8933932781219482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8933932781219482
5,0.1544571965932846,0.15673814713954926,0.1544571965932846,0.15673814713954926,2.830486536026001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.830486536026001
10,0.13821712136268616,0.13829317688941956,0.13821712136268616,0.13829317688941956,2.5844924449920654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5844924449920654
15,0.13133274018764496,0.13123290240764618,0.13133274018764496,0.13123290240764618,2.4835658073425293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4835658073425293
20,0.20794351398944855,0.21163180470466614,0.20794351398944855,0.21163180470466614,2.399289846420288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.399289846420288
25,0.3521623909473419,0.35725003480911255,0.3521623909473419,0.35725003480911255,2.2689943313598633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2689943313598633
30,0.3705207407474518,0.374371200799942,0.3705207407474518,0.374371200799942,2.1326704025268555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1326704025268555
35,0.3941747546195984,0.39696407318115234,0.3941747546195984,0.39696407318115234,1.9818432331085205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9818432331085205
40,0.4190644323825836,0.4248521625995636,0.4190644323825836,0.4248521625995636,1.8427406549453735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8427406549453735
45,0.47819948196411133,0.48821815848350525,0.47819948196411133,0.48821815848350525,1.7151768207550049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7151768207550049
50,0.5022065043449402,0.5140764117240906,0.5022065043449402,0.5140764117240906,1.5734599828720093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5734599828720093
55,0.5339806079864502,0.5438178181648254,0.5339806079864502,0.5438178181648254,1.4622738361358643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4622738361358643
60,0.5537511110305786,0.562527596950531,0.5537511110305786,0.562527596950531,1.380621075630188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.380621075630188
65,0.5798764228820801,0.5915629863739014,0.5798764228820801,0.5915629863739014,1.3150368928909302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3150368928909302
70,0.6049426198005676,0.6136263608932495,0.6049426198005676,0.6136263608932495,1.2463308572769165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2463308572769165
75,0.6245366334915161,0.6347188949584961,0.6245366334915161,0.6347188949584961,1.199555516242981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199555516242981
80,0.635657548904419,0.6498985290527344,0.635657548904419,0.6498985290527344,1.1425005197525024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1425005197525024
85,0.6497793197631836,0.6669314503669739,0.6497793197631836,0.6669314503669739,1.092842936515808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092842936515808
90,0.6631950736045837,0.6854646801948547,0.6631950736045837,0.6854646801948547,1.0469025373458862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0469025373458862
95,0.6759046912193298,0.6981731653213501,0.6759046912193298,0.6981731653213501,1.004589319229126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004589319229126
100,0.6861429810523987,0.7117642164230347,0.6861429810523987,0.7117642164230347,0.9598977565765381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9598977565765381
105,0.6939100027084351,0.7205895185470581,0.6939100027084351,0.7205895185470581,0.9191275835037231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9191275835037231
110,0.6999117136001587,0.7309151887893677,0.6999117136001587,0.7309151887893677,0.8801605105400085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8801605105400085
115,0.7043247818946838,0.7400053143501282,0.7043247818946838,0.7400053143501282,0.8484575152397156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8484575152397156
120,0.7083848118782043,0.7472420930862427,0.7083848118782043,0.7472420930862427,0.8162879943847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8162879943847656
125,0.7152692079544067,0.7538610696792603,0.7152692079544067,0.7538610696792603,0.7951239943504333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7951239943504333
130,0.7186231017112732,0.7609213590621948,0.7186231017112732,0.7609213590621948,0.7665952444076538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7665952444076538
135,0.7237423062324524,0.7684229016304016,0.7237423062324524,0.7684229016304016,0.747477650642395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747477650642395
140,0.7239187955856323,0.7749536633491516,0.7239187955856323,0.7749536633491516,0.7315216064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7315216064453125
145,0.73062664270401,0.7836907505989075,0.73062664270401,0.7836907505989075,0.7055955529212952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7055955529212952
150,0.7352162599563599,0.7892507314682007,0.7352162599563599,0.7892507314682007,0.6809530854225159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6809530854225159
155,0.7364519238471985,0.7933986186981201,0.7364519238471985,0.7933986186981201,0.6632905602455139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6632905602455139
160,0.7373344898223877,0.8016944527626038,0.7373344898223877,0.8016944527626038,0.6486777663230896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6486777663230896
165,0.7383936643600464,0.8071661591529846,0.7383936643600464,0.8071661591529846,0.6297478079795837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6297478079795837
170,0.7408649325370789,0.8111376166343689,0.7408649325370789,0.8111376166343689,0.6146165132522583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146165132522583
175,0.7436892986297607,0.815020740032196,0.7436892986297607,0.815020740032196,0.5980249643325806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5980249643325806
180,0.7431597709655762,0.8186391592025757,0.7431597709655762,0.8186391592025757,0.580357551574707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.580357551574707
185,0.7454545497894287,0.8232282996177673,0.7454545497894287,0.8232282996177673,0.5675097703933716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5675097703933716
190,0.7468667030334473,0.8298473358154297,0.7468667030334473,0.8298473358154297,0.5561370253562927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5561370253562927
195,0.7495145797729492,0.834171712398529,0.7495145797729492,0.834171712398529,0.5398253798484802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5398253798484802
200,0.7539276480674744,0.839908242225647,0.7539276480674744,0.839908242225647,0.5236536860466003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5236536860466003
