source_id,paper_title,venue,year,table_id,source_url,dataset,dataset_version,task,metric,feature_condition,split_protocol,model,mean,std,unit,n_runs,comparison_level,notes
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,roman_empire,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,ResNet,65.88,0.38,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,amazon_ratings,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,ResNet,45.9,0.52,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,minesweeper,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,ResNet,50.89,1.39,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,tolokers,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,ResNet,72.95,1.06,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,questions,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,ResNet,70.34,0.76,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,roman_empire,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,ResNet+SGC,73.9,0.51,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,amazon_ratings,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,ResNet+SGC,50.66,0.48,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,minesweeper,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,ResNet+SGC,70.88,0.9,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,tolokers,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,ResNet+SGC,80.7,0.97,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,questions,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,ResNet+SGC,75.81,0.96,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
